Dataset,MajorityClass,Cropland,Forest,Built-up,Water,Wetland,Bareland,Grassland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KFB_M_R,Grassland,83,123,28,30,12,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFB_M_R,Non_Wetland,0,3,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFB_M_R,Bareland,31,60,24,35,1,0,116,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFB_M_R,Built-up,144,235,0,82,5,147,301,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFB_M_R,Forest,224,0,112,355,182,44,891,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFB_M_R,Shrubland,7,11,2,5,3,1,26,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFB_M_R,Cropland,0,443,203,214,72,205,832,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFB_M_R,Wetland,45,418,11,218,0,16,558,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFB_M_R,Water,168,686,81,0,354,170,895,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFB_M_R,Non_Wetland,0,1,0,0,2,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFB_M_R,Forest,0,0,118,455,684,84,195,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFB_M_R,Water,0,251,137,0,546,91,78,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFB_M_R,Shrubland,0,1,5,2,4,7,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFB_M_R,Grassland,0,73,41,97,139,9,0,0,0,0,0,0
