Dataset,MajorityClass,Grassland,Forest,Cropland,Wetland,Built-up,Water,Bareland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_21KXS_M_R,Shrubland,42,33,7,4,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXS_M_R,Grassland,0,294,130,111,35,84,38,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXS_M_R,Non_Wetland,3,5,1,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXS_M_R,Water,338,447,118,274,5,0,71,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXS_M_R,Forest,582,0,234,134,115,255,56,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXS_M_R,Cropland,575,546,0,94,136,176,127,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXS_M_R,Wetland,57,83,2,0,0,53,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXS_M_R,Bareland,44,34,27,5,9,18,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KXS_M_R,Built-up,144,181,101,0,0,19,57,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXS_M_R,Non_Wetland,2,1,0,7,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXS_M_R,Shrubland,21,13,0,11,0,2,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXS_M_R,Grassland,0,150,0,158,23,77,26,68,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXS_M_R,Cropland,679,344,0,248,157,184,184,71,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXS_M_R,Bareland,23,25,0,1,7,30,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXS_M_R,Water,365,201,0,139,14,0,36,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXS_M_R,Forest,690,0,0,533,74,315,132,204,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXS_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXS_M_R,Built-up,127,62,0,25,0,16,83,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXS_M_R,Wetland,73,13,0,0,0,135,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXS_M_R,Grassland,0,84,72,146,8,61,159,46,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXS_M_R,Forest,863,0,153,521,24,241,544,195,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXS_M_R,Non_Wetland,5,1,1,5,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXS_M_R,Water,560,150,9,166,11,0,392,2,0,0,0
