Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23KKT_M_R,Shrubland,259,85,38,62,134,11,28,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKT_M_R,Grassland,0,177,45,46,182,8,21,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKT_M_R,Non_Wetland,9,8,0,0,7,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKT_M_R,Bareland,225,86,0,66,110,7,40,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKT_M_R,Built-up,374,162,138,0,293,1,45,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKT_M_R,Water,880,218,225,89,776,130,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKT_M_R,Forest,1158,398,107,238,0,130,384,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKT_M_R,Cropland,906,0,259,261,543,27,119,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKT_M_R,Wetland,359,71,6,4,252,0,154,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKT_M_R,Non_Water,3,1,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKT_M_R,Permanent_ice_and_snow,3,1,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKT_M_R,Non_Wetland,3,0,0,0,3,15,1,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKT_M_R,Shrubland,63,0,36,29,41,77,54,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKT_M_R,Grassland,0,0,46,51,145,158,99,141,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKT_M_R,Cropland,429,0,266,294,437,391,361,404,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKT_M_R,Bareland,61,0,0,67,31,24,156,53,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKT_M_R,Built-up,57,0,152,0,120,78,147,115,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKT_M_R,Forest,402,0,320,187,0,814,685,631,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKT_M_R,Non_Water,0,0,0,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKT_M_R,Wetland,28,0,19,0,45,0,228,37,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKT_M_R,Water,204,0,95,109,346,375,0,255,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKT_M_R,Permanent_ice_and_snow,2,0,0,0,1,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKT_M_R,Shrubland,0,0,0,0,0,0,0,0,135,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKT_M_R,Grassland,0,0,0,0,0,51,2,0,292,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKT_M_R,Wetland,0,0,0,0,0,0,3,0,428,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKT_M_R,Forest,0,0,0,0,0,383,121,0,1473,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKT_M_R,Bareland,0,0,0,0,0,4,35,0,48,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKT_M_R,Built-up,0,0,0,0,0,25,22,0,158,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKT_M_R,Water,0,0,0,0,0,549,0,0,553,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKT_M_R,Cropland,0,0,0,0,0,56,46,0,659,0,0,0
