Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Water,Cropland,Grassland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MCB_M_R,Grassland,482,85,111,122,24,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCB_M_R,Non_Wetland,8,0,3,2,3,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCB_M_R,Wetland,832,0,342,58,374,1,1178,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCB_M_R,Bareland,122,2,0,52,41,0,250,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCB_M_R,Built-up,158,0,60,0,6,0,242,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCB_M_R,Water,930,194,461,80,0,0,1012,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCB_M_R,Forest,0,64,96,101,173,1,838,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCB_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCB_M_R,Shrubland,24,2,4,12,4,0,21,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCB_M_R,Cropland,116,0,14,21,4,0,112,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCB_M_R,Permanent_ice_and_snow,4,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCB_M_R,Non_Wetland,4,6,6,0,4,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCB_M_R,Grassland,162,271,231,103,161,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCB_M_R,Wetland,140,0,108,33,770,0,510,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCB_M_R,Bareland,68,100,0,16,116,0,169,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCB_M_R,Water,338,763,170,38,0,0,648,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCB_M_R,Forest,0,766,285,92,461,0,780,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCB_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCB_M_R,Shrubland,8,12,11,3,11,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCB_M_R,Built-up,51,56,149,0,59,0,129,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCB_M_R,Cropland,28,51,42,32,24,0,86,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCB_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCB_M_R,Grassland,0,166,0,0,48,0,0,802,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCB_M_R,Wetland,0,0,0,0,99,0,0,1108,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCB_M_R,Bareland,0,81,0,0,27,0,0,136,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCB_M_R,Forest,0,337,0,0,145,0,0,1488,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCB_M_R,Water,0,611,0,0,0,0,0,1110,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCB_M_R,Shrubland,0,0,0,0,0,0,0,38,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCB_M_R,Cropland,0,5,0,0,2,0,0,86,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCB_M_R,Built-up,0,22,0,0,11,0,0,157,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCB_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCB_M_R,Wetland,79,0,494,10,426,7,511,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCB_M_R,Non_Wetland,0,19,3,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCB_M_R,Forest,0,816,596,114,344,20,730,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCB_M_R,Grassland,69,407,459,122,98,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCB_M_R,Bareland,0,45,0,1,12,10,64,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCB_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCB_M_R,Water,172,1012,686,50,0,13,309,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCB_M_R,Shrubland,0,24,27,4,1,1,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCB_M_R,Built-up,6,99,225,0,8,0,73,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCB_M_R,Cropland,2,43,123,39,2,0,44,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCB_M_R,Permanent_ice_and_snow,0,0,7,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCB_M_R,Water,0,0,0,0,0,0,0,0,582,0,0,0
