Dataset,MajorityClass,Grassland,Bareland,Forest,Wetland,Water,Non_Wetland,Non_Water,Cropland,Shrubland,Built-up,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19NHC_M_R,Shrubland,1,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHC_M_R,Grassland,0,1,2,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHC_M_R,Cropland,5,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHC_M_R,Wetland,26,3,25,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHC_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHC_M_R,Water,30,6,30,20,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHC_M_R,Forest,26,7,0,16,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHC_M_R,Bareland,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHC_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHC_M_R,Grassland,0,0,0,4,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHC_M_R,Forest,0,0,0,20,9,25,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHC_M_R,Water,0,0,0,24,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHC_M_R,Wetland,0,0,0,0,5,11,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHC_M_R,Grassland,0,0,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHC_M_R,Wetland,0,0,0,0,19,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHC_M_R,Forest,0,0,0,0,19,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHC_M_R,Water,0,0,0,0,0,0,20,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHC_M_R,Grassland,0,1,7,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHC_M_R,Wetland,0,1,10,0,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHC_M_R,Water,0,2,4,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHC_M_R,Forest,0,4,0,10,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHC_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHC_M_R,Bareland,2,0,2,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHC_M_R,Water,10,0,14,24,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHC_M_R,Forest,16,1,0,20,9,0,0,6,14,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHC_M_R,Grassland,0,0,6,4,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHC_M_R,Cropland,2,0,1,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHC_M_R,Wetland,4,0,3,0,5,0,0,2,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHC_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHC_M_R,Wetland,9,2,30,0,10,0,0,3,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHC_M_R,Water,2,3,33,9,0,0,0,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHC_M_R,Forest,6,3,0,2,4,0,0,5,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHC_M_R,Grassland,0,1,4,2,1,0,0,2,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHC_M_R,Bareland,0,0,1,0,1,0,0,0,0,0,0
