Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LCP_M_R
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Cropland
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Wetland
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Built-up
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
129,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
142,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
156,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
157,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
158,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
159,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
160,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
161,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
162,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Water,Grassland
163,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
164,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
165,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
166,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
167,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
168,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Bareland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Bareland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Bareland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Cropland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Built-up
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
