Dataset,MajorityClass,Non_Wetland,Water,Wetland,Grassland,Forest,Bareland,Non_Water,Shrubland,Built-up,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEU_M_R,Wetland,43,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEU_M_R,Shrubland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEU_M_R,Grassland,12,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEU_M_R,Water,201,0,217,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEU_M_R,Forest,373,50,106,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MEU_M_R,Bareland,12,11,43,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEU_M_R,Wetland,0,39,0,63,71,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEU_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEU_M_R,Bareland,0,41,0,12,113,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEU_M_R,Water,0,0,6,103,322,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MEU_M_R,Forest,0,80,1,62,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEU_M_R,Wetland,0,44,0,0,0,0,31,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEU_M_R,Grassland,0,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEU_M_R,Bareland,0,45,0,0,0,0,23,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEU_M_R,Water,0,0,0,0,0,0,192,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MEU_M_R,Forest,0,132,0,0,0,0,85,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEU_M_R,Wetland,0,3,0,3,11,15,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEU_M_R,Water,0,0,217,80,128,135,0,36,9,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEU_M_R,Bareland,0,11,43,12,35,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEU_M_R,Grassland,0,0,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MEU_M_R,Forest,0,50,106,95,0,119,0,52,19,6,13,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEU_M_R,Shrubland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEU_M_R,Grassland,0,3,10,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEU_M_R,Wetland,0,43,0,0,5,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEU_M_R,Forest,0,180,223,8,0,38,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEU_M_R,Water,0,0,163,0,44,132,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MEU_M_R,Bareland,0,35,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEU_M_R,Shrubland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEU_M_R,Grassland,0,2,8,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEU_M_R,Forest,0,161,280,49,0,100,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEU_M_R,Water,0,0,248,2,57,156,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEU_M_R,Wetland,0,32,0,5,4,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MEU_M_R,Bareland,0,26,10,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEU_M_R,Water,0,0,28,0,75,77,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEU_M_R,Wetland,0,52,0,0,39,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEU_M_R,Bareland,0,39,0,0,28,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEU_M_R,Forest,0,209,16,0,0,1,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MEU_M_R,Grassland,0,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEU_M_R,Water,0,0,12,5,329,96,0,0,0,6,0,30
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEU_M_R,Wetland,0,18,0,4,139,9,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEU_M_R,Forest,0,16,0,1,0,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEU_M_R,Bareland,0,19,1,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MEU_M_R,Grassland,0,0,0,0,11,0,0,0,0,0,0,0
