Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Built-up,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LHP_M_R,Shrubland,283,73,78,148,69,31,16,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHP_M_R,Grassland,0,131,60,212,32,16,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHP_M_R,Non_Wetland,7,0,1,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHP_M_R,Bareland,189,67,0,64,36,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHP_M_R,Water,449,10,111,388,8,152,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHP_M_R,Forest,663,227,66,0,51,65,93,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHP_M_R,Cropland,473,0,145,325,130,2,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHP_M_R,Wetland,78,3,6,55,0,0,40,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHP_M_R,Built-up,167,60,45,112,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHP_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHP_M_R,Non_Wetland,2,0,0,2,0,9,1,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHP_M_R,Shrubland,82,0,38,42,17,66,25,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHP_M_R,Grassland,0,0,40,147,13,83,34,257,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHP_M_R,Cropland,514,0,142,292,34,101,6,554,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHP_M_R,Wetland,13,0,0,12,0,0,102,57,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHP_M_R,Bareland,128,0,0,31,27,13,21,136,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHP_M_R,Built-up,111,0,78,41,0,6,16,153,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHP_M_R,Water,114,0,23,193,17,245,0,392,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHP_M_R,Forest,467,0,62,0,42,358,197,803,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHP_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHP_M_R,Shrubland,0,0,0,0,0,0,0,0,144,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHP_M_R,Wetland,0,0,0,0,0,0,9,0,179,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHP_M_R,Grassland,0,0,0,0,0,27,9,0,136,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHP_M_R,Forest,0,0,0,0,0,112,96,0,676,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHP_M_R,Cropland,0,0,0,0,0,1,9,0,129,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHP_M_R,Water,0,0,0,0,0,170,0,0,358,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHP_M_R,Bareland,0,0,0,0,0,3,10,0,15,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LHP_M_R,Built-up,0,0,0,0,0,1,4,0,11,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHP_M_R,Grassland,0,126,168,73,20,46,6,232,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHP_M_R,Non_Wetland,3,0,1,1,0,10,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHP_M_R,Wetland,10,0,12,12,0,0,7,53,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHP_M_R,Forest,493,211,357,0,34,396,134,735,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHP_M_R,Non_Water,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHP_M_R,Water,52,0,202,159,1,370,0,366,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHP_M_R,Shrubland,80,37,91,25,16,55,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHP_M_R,Bareland,73,40,0,5,4,2,0,39,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHP_M_R,Built-up,106,11,152,14,0,5,0,122,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHP_M_R,Cropland,375,0,347,90,70,28,3,287,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LHP_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHP_M_R,Shrubland,0,0,0,0,0,0,57,0,0,9,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHP_M_R,Grassland,0,0,0,0,0,0,65,0,0,11,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHP_M_R,Wetland,0,0,0,0,0,0,79,0,0,43,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHP_M_R,Water,0,0,0,0,0,0,0,0,0,190,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHP_M_R,Cropland,0,0,0,0,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHP_M_R,Bareland,0,0,0,0,0,0,11,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHP_M_R,Forest,0,0,0,0,0,0,243,0,0,89,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LHP_M_R,Built-up,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHP_M_R,Grassland,0,287,43,273,59,27,9,381,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHP_M_R,Bareland,9,159,0,103,50,3,10,209,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHP_M_R,Forest,187,394,39,0,76,112,96,635,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHP_M_R,Wetland,1,8,5,43,0,0,9,63,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHP_M_R,Built-up,20,128,2,56,0,1,4,139,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHP_M_R,Cropland,99,0,61,289,77,1,9,429,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHP_M_R,Water,2,116,59,305,12,170,0,362,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHP_M_R,Shrubland,12,34,4,32,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LHP_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHP_M_R,Grassland,0,465,0,185,119,0,20,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHP_M_R,Forest,0,474,0,0,252,17,331,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHP_M_R,Shrubland,0,154,0,91,99,1,51,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHP_M_R,Wetland,0,18,0,30,1,0,57,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHP_M_R,Bareland,0,206,0,25,89,0,12,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHP_M_R,Water,0,52,2,39,28,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHP_M_R,Built-up,0,19,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LHP_M_R,Cropland,0,0,4,151,85,0,4,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHP_M_R,Wetland,51,4,2,99,0,0,40,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHP_M_R,Water,42,4,8,281,0,31,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHP_M_R,Forest,158,190,122,0,0,3,70,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHP_M_R,Shrubland,83,83,86,169,0,4,43,0,0,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHP_M_R,Cropland,154,0,208,154,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHP_M_R,Bareland,11,36,0,18,0,0,8,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHP_M_R,Built-up,1,32,20,68,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LHP_M_R,Grassland,0,108,90,149,0,0,25,0,0,0,1
