Dataset,MajorityClass,Grassland,Forest,Wetland,Cropland,Built-up,Water,Bareland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21KZS_M_R,Shrubland,118,82,28,18,8,10,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZS_M_R,Grassland,0,265,110,167,43,68,51,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZS_M_R,Non_Wetland,12,10,5,1,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZS_M_R,Forest,768,0,173,222,122,261,106,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZS_M_R,Cropland,540,357,85,0,121,78,158,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZS_M_R,Wetland,133,164,0,3,1,105,21,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZS_M_R,Bareland,55,23,1,7,11,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZS_M_R,Water,486,485,322,14,7,0,77,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZS_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZS_M_R,Built-up,91,60,0,34,0,1,39,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZS_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZS_M_R,Non_Wetland,4,1,20,0,0,5,4,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZS_M_R,Shrubland,47,12,45,0,0,16,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZS_M_R,Grassland,0,133,325,0,9,81,31,166,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZS_M_R,Wetland,65,4,0,0,0,163,11,33,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZS_M_R,Bareland,69,19,21,0,0,29,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZS_M_R,Forest,530,0,964,0,4,457,175,544,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZS_M_R,Non_Water,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZS_M_R,Water,214,103,470,0,0,0,41,105,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZS_M_R,Cropland,492,220,296,0,15,54,120,224,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZS_M_R,Built-up,80,19,40,0,0,8,58,19,0,0,0,0
