,0
Water,2837
Bareland,1723
Grassland,1418
Forest,1256
Wetland,1250
Cropland,1118
Built-up,921
Shrubland,666
Permanent_ice_and_snow,452
Non_Wetland,428
Non_Water,202
Lichens_and_Mosses,165
