Dataset,MajorityClass,Grassland,Wetland,Bareland,Forest,Built-up,Water,Non_Wetland,Shrubland,Cropland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NXC_M_R,Shrubland,81,13,8,52,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXC_M_R,Grassland,0,21,8,69,4,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXC_M_R,Wetland,172,0,6,145,1,14,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXC_M_R,Bareland,10,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXC_M_R,Water,137,67,32,237,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXC_M_R,Built-up,4,0,2,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXC_M_R,Forest,185,8,3,0,0,28,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NXC_M_R,Cropland,9,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXC_M_R,Shrubland,0,0,0,0,0,0,90,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXC_M_R,Grassland,0,75,0,0,0,12,163,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXC_M_R,Wetland,0,0,0,0,0,16,112,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXC_M_R,Forest,0,138,0,0,0,35,321,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXC_M_R,Water,0,149,0,0,0,0,140,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXC_M_R,Built-up,0,0,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXC_M_R,Cropland,0,0,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NXC_M_R,Bareland,0,0,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXC_M_R,Shrubland,35,35,16,14,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXC_M_R,Grassland,0,71,20,26,0,25,0,37,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXC_M_R,Wetland,130,0,14,18,0,52,0,45,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXC_M_R,Forest,165,180,74,0,0,40,0,148,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXC_M_R,Water,125,206,0,55,0,0,0,22,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXC_M_R,Built-up,11,3,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXC_M_R,Cropland,1,0,1,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NXC_M_R,Bareland,3,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXC_M_R,Shrubland,38,37,12,8,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXC_M_R,Wetland,145,0,10,1,0,85,0,55,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXC_M_R,Forest,225,184,36,0,0,59,0,197,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXC_M_R,Grassland,0,91,19,2,0,18,0,57,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NXC_M_R,Water,151,155,1,10,0,0,0,42,0,0,0
