Dataset,MajorityClass,Bareland,Water,Grassland,Forest,Wetland,Built-up,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDT_M_R,Non_Wetland,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDT_M_R,Wetland,59,18,12,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDT_M_R,Water,422,0,75,32,162,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDT_M_R,Forest,222,199,197,0,221,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDT_M_R,Bareland,0,68,27,4,31,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDT_M_R,Built-up,8,1,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDT_M_R,Grassland,1,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDT_M_R,Non_Wetland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDT_M_R,Wetland,90,12,4,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDT_M_R,Water,526,0,22,67,245,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDT_M_R,Forest,387,170,53,0,302,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDT_M_R,Bareland,0,76,19,12,56,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDT_M_R,Built-up,11,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDT_M_R,Grassland,4,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDT_M_R,Non_Wetland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDT_M_R,Wetland,0,69,35,122,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDT_M_R,Bareland,0,215,219,270,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDT_M_R,Built-up,0,3,7,7,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDT_M_R,Water,17,0,222,485,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDT_M_R,Forest,7,154,133,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MDT_M_R,Grassland,0,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDT_M_R,Wetland,0,37,0,0,0,0,41,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDT_M_R,Bareland,0,213,0,0,0,0,71,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDT_M_R,Water,0,0,0,0,0,0,273,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDT_M_R,Forest,0,189,0,0,0,0,131,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDT_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDT_M_R,Grassland,0,1,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDT_M_R,Water,207,0,131,256,271,49,0,80,1,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDT_M_R,Bareland,0,52,46,160,109,51,0,83,5,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDT_M_R,Built-up,1,0,2,2,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDT_M_R,Forest,179,63,112,0,157,60,0,75,8,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDT_M_R,Grassland,0,0,0,1,2,2,0,3,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDT_M_R,Wetland,5,2,1,5,0,1,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDT_M_R,Water,0,0,0,0,271,0,0,0,0,0,278,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDT_M_R,Forest,0,63,0,0,157,0,0,0,0,0,445,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDT_M_R,Bareland,0,52,0,0,109,0,0,0,0,0,162,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDT_M_R,Built-up,0,0,0,0,0,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDT_M_R,Grassland,0,0,0,0,2,0,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDT_M_R,Wetland,0,2,0,0,0,0,0,0,0,0,18,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDT_M_R,Bareland,0,212,0,99,60,79,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDT_M_R,Water,111,0,0,72,45,36,0,0,0,0,0,0
