Dataset,MajorityClass,Forest,Cropland,Built-up,Bareland,Wetland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_22KEV_M_R,Grassland,234,144,34,21,17,33,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEV_M_R,Non_Wetland,1,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEV_M_R,Forest,0,234,125,55,76,273,845,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEV_M_R,Cropland,510,0,168,167,45,143,801,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEV_M_R,Wetland,254,40,6,23,0,133,363,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEV_M_R,Non_Water,0,0,0,1,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEV_M_R,Water,715,180,54,185,161,0,727,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEV_M_R,Shrubland,9,6,2,1,0,0,28,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEV_M_R,Built-up,255,117,0,120,0,56,305,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEV_M_R,Bareland,31,19,18,0,0,3,95,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEV_M_R,Non_Wetland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEV_M_R,Grassland,109,0,65,49,176,121,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEV_M_R,Forest,0,0,120,116,602,453,221,15,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEV_M_R,Non_Water,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEV_M_R,Shrubland,1,0,2,2,4,4,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEV_M_R,Bareland,3,0,25,0,2,70,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEV_M_R,Cropland,223,0,272,241,310,289,198,11,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEV_M_R,Wetland,61,0,1,4,0,218,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEV_M_R,Built-up,42,0,0,146,49,82,45,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEV_M_R,Water,196,0,116,45,361,0,36,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEV_M_R,Grassland,0,0,0,0,58,28,0,0,352,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEV_M_R,Wetland,0,0,0,0,0,5,0,0,386,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEV_M_R,Shrubland,0,0,0,0,0,0,0,0,11,0,0
