Dataset,MajorityClass,Grassland,Cropland,Wetland,Built-up,Water,Forest,Bareland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_21KTU_M_R,Shrubland,3,1,3,1,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTU_M_R,Grassland,0,8,13,0,4,14,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTU_M_R,Cropland,64,0,11,14,17,37,21,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTU_M_R,Wetland,23,4,0,0,7,13,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTU_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTU_M_R,Built-up,10,2,0,0,1,6,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTU_M_R,Water,70,8,6,0,0,55,36,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTU_M_R,Forest,54,11,18,15,7,0,8,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KTU_M_R,Bareland,25,2,7,1,6,15,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTU_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTU_M_R,Grassland,0,0,3,0,3,0,0,13,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTU_M_R,Cropland,0,0,6,0,8,0,0,17,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTU_M_R,Forest,0,0,9,0,12,0,0,20,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTU_M_R,Wetland,0,0,0,0,0,0,0,22,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTU_M_R,Water,0,0,21,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KTU_M_R,Bareland,0,0,0,0,3,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTU_M_R,Shrubland,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTU_M_R,Cropland,0,0,0,0,21,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTU_M_R,Wetland,0,0,0,0,8,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTU_M_R,Water,0,0,0,0,0,0,0,0,36,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTU_M_R,Forest,0,0,0,0,23,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTU_M_R,Built-up,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTU_M_R,Grassland,0,0,0,0,7,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KTU_M_R,Bareland,0,0,0,0,6,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTU_M_R,Water,1,40,21,18,0,23,9,0,0,35,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTU_M_R,Cropland,12,0,6,19,8,23,2,0,0,40,7
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTU_M_R,Built-up,0,8,0,0,0,4,0,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTU_M_R,Forest,19,37,9,17,12,0,4,0,0,39,6
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTU_M_R,Grassland,0,18,3,5,3,11,1,0,0,24,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTU_M_R,Wetland,0,6,0,2,0,4,0,0,0,7,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KTU_M_R,Bareland,8,27,0,18,3,9,0,0,0,15,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTU_M_R,Water,0,88,0,7,0,8,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTU_M_R,Grassland,0,29,0,1,1,15,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTU_M_R,Wetland,0,23,0,2,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTU_M_R,Bareland,0,27,0,6,8,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTU_M_R,Built-up,0,2,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTU_M_R,Forest,0,50,0,18,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KTU_M_R,Cropland,0,0,0,10,3,12,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTU_M_R,Water,11,8,5,0,0,15,21,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTU_M_R,Cropland,13,0,6,0,9,16,11,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTU_M_R,Wetland,3,2,0,0,7,5,5,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTU_M_R,Built-up,1,5,0,0,0,4,5,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTU_M_R,Forest,9,10,3,0,7,0,11,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21KTU_M_R,Grassland,0,1,0,0,0,2,2,0,0,0,0
