Dataset,MajorityClass,Grassland,Cropland,Forest,Water,Wetland,Bareland,Built-up,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23KKB_M_R,Shrubland,448,81,204,125,160,115,87,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKB_M_R,Non_Wetland,9,0,11,3,19,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKB_M_R,Grassland,0,147,182,62,62,71,61,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKB_M_R,Bareland,412,99,239,151,24,0,154,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKB_M_R,Built-up,348,124,206,21,0,123,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKB_M_R,Water,1543,214,716,0,451,524,54,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKB_M_R,Forest,1107,295,0,273,195,143,163,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKB_M_R,Cropland,904,0,493,124,84,262,218,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKB_M_R,Wetland,262,8,83,117,0,12,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKB_M_R,Non_Water,1,0,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKB_M_R,Permanent_ice_and_snow,1,0,0,0,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKB_M_R,Non_Wetland,5,0,2,10,16,3,0,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKB_M_R,Shrubland,119,0,48,82,113,92,24,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKB_M_R,Grassland,0,0,145,121,158,101,56,275,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKB_M_R,Cropland,690,0,397,223,221,257,210,651,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKB_M_R,Wetland,52,0,35,197,0,37,0,160,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKB_M_R,Bareland,200,0,91,235,23,0,81,177,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKB_M_R,Built-up,187,0,90,81,18,179,0,205,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKB_M_R,Water,483,0,385,0,374,468,38,1018,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKB_M_R,Forest,584,0,0,496,584,429,161,1089,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKB_M_R,Non_Water,1,0,0,0,0,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKB_M_R,Permanent_ice_and_snow,0,0,1,0,0,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKB_M_R,Wetland,0,0,0,22,0,0,0,0,447,0,0,0
