Dataset,MajorityClass,Grassland,Bareland,Built-up,Water,Forest,Wetland,Non_Water,Non_Wetland,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18MXB_M_R,Shrubland,3,1,1,2,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXB_M_R,Grassland,0,0,0,3,19,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXB_M_R,Cropland,40,3,0,8,20,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXB_M_R,Wetland,86,0,0,51,39,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXB_M_R,Bareland,4,0,0,6,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXB_M_R,Built-up,19,4,0,6,16,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXB_M_R,Water,135,29,1,0,89,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXB_M_R,Forest,94,7,7,37,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXB_M_R,Shrubland,0,0,0,3,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXB_M_R,Grassland,0,0,0,24,0,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXB_M_R,Wetland,0,0,0,73,0,0,36,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXB_M_R,Bareland,0,0,0,6,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXB_M_R,Water,0,0,0,0,0,0,155,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXB_M_R,Forest,0,0,0,68,0,0,49,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXB_M_R,Cropland,0,0,0,12,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXB_M_R,Built-up,0,0,0,8,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXB_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXB_M_R,Bareland,0,0,0,2,0,6,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXB_M_R,Wetland,0,0,0,3,0,0,0,38,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXB_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXB_M_R,Water,0,0,0,0,0,50,0,16,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXB_M_R,Forest,0,0,0,17,0,28,0,35,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXB_M_R,Grassland,0,0,0,5,0,11,0,10,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXB_M_R,Cropland,0,0,0,4,0,3,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXB_M_R,Water,26,32,29,0,40,50,0,0,64,12,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXB_M_R,Cropland,4,6,8,4,9,3,0,0,27,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXB_M_R,Wetland,3,4,3,3,5,0,0,0,14,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXB_M_R,Built-up,4,1,0,1,5,0,0,0,12,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXB_M_R,Forest,28,29,36,17,0,28,0,0,62,24,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXB_M_R,Grassland,0,6,7,5,11,11,0,0,19,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXB_M_R,Bareland,0,0,1,2,1,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXB_M_R,Water,0,30,45,0,61,38,0,0,0,21,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXB_M_R,Wetland,0,11,15,17,24,0,0,0,0,16,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXB_M_R,Grassland,0,0,9,14,27,7,0,0,0,13,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXB_M_R,Forest,0,0,34,41,0,29,0,0,0,22,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXB_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXB_M_R,Cropland,0,0,6,2,5,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXB_M_R,Bareland,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXB_M_R,Water,26,21,0,0,77,24,0,0,0,36,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXB_M_R,Wetland,15,7,0,22,30,0,0,0,0,19,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXB_M_R,Forest,16,1,0,22,0,8,0,0,0,15,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXB_M_R,Grassland,0,0,0,4,10,4,0,0,0,4,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXB_M_R,Built-up,0,0,0,2,6,0,0,0,0,3,0,0
