Dataset,MajorityClass,Grassland,Forest,Water,Built-up,Bareland,Non_Water,Shrubland,Wetland,Cropland,Lichens_and_Mosses,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_18MWB_M_R,Shrubland,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWB_M_R,Wetland,7,1,10,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWB_M_R,Forest,40,0,25,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWB_M_R,Cropland,3,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWB_M_R,Built-up,8,8,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWB_M_R,Water,26,43,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWB_M_R,Grassland,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MWB_M_R,Bareland,0,0,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWB_M_R,Wetland,0,0,9,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWB_M_R,Built-up,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWB_M_R,Grassland,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWB_M_R,Water,0,0,0,0,0,49,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWB_M_R,Forest,0,0,34,0,0,25,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWB_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWB_M_R,Bareland,0,0,2,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWB_M_R,Cropland,0,0,0,0,1,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWB_M_R,Built-up,3,2,1,0,1,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWB_M_R,Water,13,9,0,14,12,0,18,32,8,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWB_M_R,Forest,18,0,5,14,20,0,28,18,11,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWB_M_R,Grassland,0,2,0,0,0,0,4,1,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWB_M_R,Bareland,0,0,0,1,0,0,1,3,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWB_M_R,Grassland,0,2,1,4,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWB_M_R,Water,0,21,0,5,13,0,0,2,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWB_M_R,Forest,0,0,32,15,0,0,0,2,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWB_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWB_M_R,Wetland,0,1,2,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWB_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWB_M_R,Grassland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWB_M_R,Water,0,0,0,0,0,0,0,32,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWB_M_R,Bareland,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWB_M_R,Forest,0,0,5,0,0,0,0,18,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWB_M_R,Wetland,1,12,1,0,1,0,0,0,3,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWB_M_R,Forest,3,0,7,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWB_M_R,Water,1,44,0,0,11,0,0,0,2,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWB_M_R,Built-up,0,1,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWB_M_R,Grassland,0,3,0,0,0,0,0,0,0,0,0
