Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Water,Forest,Built-up,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NNL_M_R,Shrubland,3,1,3,3,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNL_M_R,Grassland,0,0,5,2,2,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNL_M_R,Cropland,9,0,0,1,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNL_M_R,Wetland,51,0,0,19,22,22,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNL_M_R,Bareland,54,0,0,0,20,34,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNL_M_R,Built-up,17,0,0,12,2,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNL_M_R,Water,109,0,9,73,0,79,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNL_M_R,Forest,72,2,12,36,30,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNL_M_R,Permanent_ice_and_snow,4,0,0,3,3,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNL_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNL_M_R,Grassland,0,0,5,0,0,0,0,19,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNL_M_R,Forest,0,0,21,0,13,0,0,49,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNL_M_R,Wetland,0,0,0,0,0,0,0,46,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNL_M_R,Water,0,0,41,0,0,0,0,38,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNL_M_R,Built-up,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNL_M_R,Bareland,0,0,15,0,12,0,0,23,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNL_M_R,Shrubland,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNL_M_R,Grassland,0,0,0,0,10,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNL_M_R,Wetland,0,0,0,0,36,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNL_M_R,Bareland,0,0,0,0,47,0,0,0,17,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNL_M_R,Water,0,0,0,0,0,0,0,0,61,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNL_M_R,Forest,0,0,0,0,60,0,0,0,21,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NNL_M_R,Built-up,0,0,0,0,6,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNL_M_R,Water,25,18,41,19,0,56,11,0,0,83,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNL_M_R,Cropland,0,0,0,0,0,1,0,0,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNL_M_R,Wetland,2,2,0,1,0,9,4,0,0,25,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNL_M_R,Bareland,19,21,15,0,12,23,10,0,0,58,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNL_M_R,Built-up,3,5,2,1,0,5,0,0,0,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNL_M_R,Forest,32,24,21,24,13,0,10,0,0,61,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNL_M_R,Grassland,0,2,5,1,0,14,0,0,0,14,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NNL_M_R,Permanent_ice_and_snow,3,0,0,4,0,4,0,0,0,5,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNL_M_R,Forest,0,7,38,13,41,0,25,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNL_M_R,Grassland,0,0,12,3,9,6,12,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNL_M_R,Water,0,1,66,37,0,17,29,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNL_M_R,Wetland,0,0,0,1,12,3,8,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNL_M_R,Bareland,0,0,25,0,23,9,25,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNL_M_R,Cropland,0,0,0,1,2,2,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NNL_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNL_M_R,Water,13,3,11,55,0,64,0,0,0,0,13
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNL_M_R,Wetland,3,0,0,12,12,20,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNL_M_R,Forest,5,5,1,16,17,0,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNL_M_R,Grassland,0,1,2,6,4,9,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNL_M_R,Bareland,0,1,0,0,9,7,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NNL_M_R,Built-up,0,0,0,1,1,2,0,0,0,0,1
