Dataset,MajorityClass,Forest,Cropland,Built-up,Bareland,Water,Wetland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LNP_M_R,Grassland,447,61,116,86,96,42,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNP_M_R,Shrubland,38,3,7,2,4,1,51,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNP_M_R,Non_Wetland,3,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNP_M_R,Cropland,187,0,64,26,11,1,259,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNP_M_R,Bareland,108,15,51,0,48,0,222,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNP_M_R,Built-up,141,8,0,35,2,0,165,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNP_M_R,Water,702,10,24,234,0,79,774,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNP_M_R,Forest,0,16,62,46,134,17,399,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LNP_M_R,Wetland,128,0,7,17,82,0,158,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNP_M_R,Grassland,56,62,75,464,223,56,0,127,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNP_M_R,Non_Wetland,0,0,0,0,0,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNP_M_R,Forest,0,17,45,471,343,32,646,70,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNP_M_R,Water,117,22,63,550,0,6,540,80,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNP_M_R,Shrubland,1,1,1,22,7,2,18,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNP_M_R,Built-up,6,6,0,158,12,0,96,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNP_M_R,Cropland,6,0,59,218,28,6,206,41,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNP_M_R,Wetland,11,4,5,92,130,0,154,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LNP_M_R,Bareland,0,21,2,0,8,1,36,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNP_M_R,Shrubland,3,0,3,9,3,2,25,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNP_M_R,Grassland,86,0,53,132,247,93,0,146,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNP_M_R,Non_Wetland,1,0,0,1,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNP_M_R,Cropland,30,0,37,48,44,7,317,79,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNP_M_R,Bareland,29,0,18,0,67,32,235,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNP_M_R,Built-up,13,0,0,80,8,1,145,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNP_M_R,Water,185,0,53,51,0,228,1012,64,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNP_M_R,Forest,0,0,74,140,240,212,817,140,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LNP_M_R,Wetland,10,0,3,9,68,0,203,16,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNP_M_R,Grassland,0,0,0,0,63,140,0,0,320,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNP_M_R,Shrubland,0,0,0,0,0,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNP_M_R,Cropland,0,0,0,0,4,6,0,0,17,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNP_M_R,Water,0,0,0,0,0,403,0,0,234,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNP_M_R,Forest,0,0,0,0,99,259,0,0,247,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNP_M_R,Wetland,0,0,0,0,1,0,0,0,26,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LNP_M_R,Built-up,0,0,0,0,8,21,0,0,2,0,0,0
