Dataset,MajorityClass,Grassland,Cropland,Bareland,Water,Forest,Built-up,Wetland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LHJ_M_R,Shrubland,403,87,103,126,179,64,162,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHJ_M_R,Non_Wetland,6,0,0,1,4,0,11,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHJ_M_R,Grassland,0,179,77,48,190,45,98,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHJ_M_R,Bareland,269,101,0,39,99,73,21,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHJ_M_R,Water,992,107,242,0,596,6,451,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHJ_M_R,Forest,834,270,112,282,0,61,208,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHJ_M_R,Cropland,659,0,225,60,389,136,48,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHJ_M_R,Wetland,202,3,8,114,78,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHJ_M_R,Built-up,251,129,100,7,131,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LHJ_M_R,Non_Water,1,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHJ_M_R,Non_Wetland,1,0,0,4,4,0,11,10,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHJ_M_R,Shrubland,105,0,54,76,45,22,45,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHJ_M_R,Grassland,0,0,66,96,154,24,48,444,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHJ_M_R,Cropland,633,0,192,73,319,162,32,689,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHJ_M_R,Wetland,35,0,1,270,81,0,0,392,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LHJ_M_R,Bareland,192,0,0,118,47,66,4,181,0,0,0
