Dataset,MajorityClass,Bareland,Forest,Wetland,Built-up,Water,Cropland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MHC_M_R,Grassland,94,406,65,113,30,33,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHC_M_R,Non_Wetland,0,4,2,1,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHC_M_R,Bareland,0,127,3,71,50,0,300,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHC_M_R,Cropland,24,158,2,40,0,0,186,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHC_M_R,Wetland,17,315,0,11,105,0,396,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHC_M_R,Built-up,41,164,1,0,7,2,202,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHC_M_R,Water,100,583,287,6,0,0,495,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHC_M_R,Forest,44,0,116,131,118,0,734,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHC_M_R,Shrubland,6,21,2,7,1,0,19,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHC_M_R,Lichens_and_Mosses,0,1,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MHC_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHC_M_R,Non_Wetland,2,1,4,0,1,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHC_M_R,Grassland,163,140,150,97,58,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHC_M_R,Cropland,31,56,29,11,1,0,148,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHC_M_R,Wetland,28,99,0,4,263,0,352,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHC_M_R,Bareland,0,43,13,39,30,0,187,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHC_M_R,Built-up,114,38,27,0,13,0,99,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHC_M_R,Water,123,152,297,27,0,0,586,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHC_M_R,Forest,301,0,575,108,288,0,869,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHC_M_R,Shrubland,8,3,4,6,4,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHC_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MHC_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHC_M_R,Grassland,0,0,126,0,26,0,0,0,523,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHC_M_R,Wetland,0,0,0,0,25,0,0,0,202,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHC_M_R,Forest,0,0,315,0,132,0,0,0,1009,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHC_M_R,Shrubland,0,0,0,0,0,0,0,0,21,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHC_M_R,Built-up,0,0,27,0,1,0,0,0,102,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHC_M_R,Water,0,0,420,0,0,0,0,0,431,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHC_M_R,Bareland,0,0,20,0,23,0,0,0,38,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MHC_M_R,Cropland,0,0,4,0,1,0,0,0,71,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHC_M_R,Non_Wetland,1,0,8,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHC_M_R,Forest,658,0,539,85,360,155,543,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHC_M_R,Grassland,429,88,269,66,115,213,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHC_M_R,Bareland,0,1,8,9,16,101,16,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHC_M_R,Water,333,70,440,5,0,11,131,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHC_M_R,Shrubland,14,0,15,2,3,8,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHC_M_R,Built-up,182,8,63,0,8,40,79,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHC_M_R,Wetland,172,17,0,3,286,17,123,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHC_M_R,Lichens_and_Mosses,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHC_M_R,Cropland,82,12,40,8,3,0,47,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MHC_M_R,Permanent_ice_and_snow,3,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHC_M_R,Grassland,0,0,0,0,166,0,0,0,0,48,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHC_M_R,Wetland,0,0,0,0,285,0,0,0,0,178,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHC_M_R,Bareland,0,0,0,0,81,0,0,0,0,11,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHC_M_R,Built-up,0,0,0,0,24,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHC_M_R,Water,0,0,0,0,0,0,0,0,0,262,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHC_M_R,Forest,0,0,0,0,311,0,0,0,0,157,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHC_M_R,Cropland,0,0,0,0,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHC_M_R,Grassland,126,247,126,93,26,6,0,311,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHC_M_R,Forest,247,0,315,134,132,2,564,360,0,0,20,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHC_M_R,Wetland,55,62,0,1,25,0,20,26,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHC_M_R,Built-up,12,49,27,0,1,0,114,86,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHC_M_R,Bareland,0,97,20,87,23,0,185,137,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHC_M_R,Water,224,259,420,48,0,0,199,154,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHC_M_R,Cropland,13,76,4,24,1,0,127,108,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHC_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHC_M_R,Grassland,11,266,56,188,178,473,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHC_M_R,Forest,7,0,96,254,359,298,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHC_M_R,Bareland,0,90,12,87,58,75,0,0,0,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHC_M_R,Built-up,5,16,14,0,1,34,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHC_M_R,Wetland,0,198,0,32,223,55,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHC_M_R,Water,17,205,122,40,0,50,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHC_M_R,Cropland,0,14,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHC_M_R,Permanent_ice_and_snow,0,0,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHC_M_R,Forest,100,0,18,0,61,161,94,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHC_M_R,Cropland,30,7,1,0,1,0,16,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHC_M_R,Bareland,0,70,2,0,26,19,17,0,0,0,0,34
