Dataset,MajorityClass,Shrubland,Wetland,Bareland,Built-up,Forest,Water,Grassland,Cropland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRG_M_R,Grassland,31,156,127,32,32,33,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRG_M_R,Non_Wetland,0,2,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRG_M_R,Forest,19,332,160,31,0,107,388,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRG_M_R,Shrubland,0,23,19,1,3,4,24,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRG_M_R,Wetland,5,0,8,0,5,56,56,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRG_M_R,Built-up,0,10,52,0,2,2,37,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRG_M_R,Water,1,314,16,1,24,0,89,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRG_M_R,Cropland,0,14,36,1,2,0,27,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NRG_M_R,Bareland,0,11,0,3,0,4,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRG_M_R,Grassland,70,88,88,10,65,25,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRG_M_R,Non_Wetland,0,1,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRG_M_R,Bareland,5,15,0,4,9,8,52,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRG_M_R,Forest,81,275,112,16,0,111,412,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRG_M_R,Shrubland,0,13,5,2,8,3,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRG_M_R,Wetland,14,0,12,0,32,54,96,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRG_M_R,Built-up,2,0,45,0,8,2,57,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRG_M_R,Cropland,5,6,17,0,8,0,40,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NRG_M_R,Water,25,197,18,0,78,0,194,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRG_M_R,Grassland,0,11,22,31,154,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRG_M_R,Non_Wetland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRG_M_R,Wetland,0,0,7,1,114,51,164,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NRG_M_R,Bareland,0,0,0,12,26,5,71,0,0,0,0
