Dataset,MajorityClass,Grassland,Forest,Wetland,Water,Cropland,Built-up,Bareland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LEN_M_R,Shrubland,307,190,58,12,13,14,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEN_M_R,Non_Wetland,14,12,8,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEN_M_R,Grassland,0,224,22,1,53,18,14,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEN_M_R,Water,912,766,433,0,33,0,77,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEN_M_R,Forest,1184,0,315,245,24,32,18,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEN_M_R,Cropland,432,219,4,7,0,27,19,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEN_M_R,Wetland,1340,704,0,399,69,1,36,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEN_M_R,Bareland,319,87,4,132,41,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEN_M_R,Built-up,120,104,0,5,11,0,11,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEN_M_R,Non_Water,2,1,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEN_M_R,Permanent_ice_and_snow,1,1,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEN_M_R,Non_Wetland,3,4,19,7,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEN_M_R,Shrubland,70,34,93,28,0,6,18,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEN_M_R,Grassland,0,124,202,50,0,8,21,265,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEN_M_R,Cropland,277,47,109,15,0,24,33,176,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEN_M_R,Wetland,365,501,0,592,0,2,87,891,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEN_M_R,Bareland,58,75,27,161,0,5,0,63,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEN_M_R,Built-up,53,7,24,3,0,0,18,33,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEN_M_R,Water,116,493,424,0,0,24,63,620,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEN_M_R,Forest,491,0,688,506,0,56,130,1122,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEN_M_R,Non_Water,0,0,0,4,0,0,0,0,0,0,0
