Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Water,Grassland,Cropland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MLS_M_R,Grassland,151,32,11,55,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLS_M_R,Non_Wetland,6,1,1,1,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLS_M_R,Cropland,77,0,3,20,0,120,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLS_M_R,Wetland,109,0,0,1,27,205,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLS_M_R,Bareland,43,1,0,10,3,92,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLS_M_R,Water,273,6,32,2,0,248,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLS_M_R,Shrubland,7,2,1,4,0,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLS_M_R,Forest,0,6,16,62,76,435,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLS_M_R,Built-up,93,2,5,0,12,148,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MLS_M_R,Permanent_ice_and_snow,3,0,1,0,0,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLS_M_R,Non_Wetland,3,9,2,0,1,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLS_M_R,Grassland,60,178,90,5,24,0,0,23,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLS_M_R,Cropland,20,61,35,2,4,87,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLS_M_R,Wetland,11,0,19,2,29,57,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLS_M_R,Bareland,3,19,0,2,10,55,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLS_M_R,Water,56,279,47,7,0,120,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLS_M_R,Forest,0,599,154,8,175,445,0,68,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLS_M_R,Shrubland,8,10,4,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLS_M_R,Built-up,6,58,93,0,4,73,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MLS_M_R,Permanent_ice_and_snow,2,7,1,0,1,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLS_M_R,Grassland,0,17,0,0,9,0,0,0,353,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLS_M_R,Wetland,0,0,0,0,2,0,0,0,164,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLS_M_R,Forest,0,112,0,0,37,0,0,0,878,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLS_M_R,Water,0,156,0,0,0,0,0,0,248,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLS_M_R,Shrubland,0,0,0,0,0,0,0,0,20,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLS_M_R,Cropland,0,0,0,0,0,0,0,0,74,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLS_M_R,Bareland,0,5,0,0,0,0,0,0,36,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLS_M_R,Built-up,0,13,0,0,1,0,0,0,88,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLS_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLS_M_R,Wetland,2,0,51,17,32,72,0,0,0,0,0,0
