Dataset,MajorityClass,Grassland,Built-up,Water,Forest,Bareland,Wetland,Non_Water,Shrubland,Cropland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NML_M_R,Shrubland,1,1,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NML_M_R,Grassland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NML_M_R,Cropland,1,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NML_M_R,Wetland,7,0,6,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NML_M_R,Forest,24,1,17,0,14,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NML_M_R,Built-up,3,0,0,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NML_M_R,Water,28,0,0,36,19,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NML_M_R,Bareland,0,0,4,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NML_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NML_M_R,Forest,0,0,25,0,0,0,16,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NML_M_R,Bareland,0,0,3,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NML_M_R,Wetland,0,0,6,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NML_M_R,Water,0,0,0,0,0,0,32,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NML_M_R,Bareland,1,0,0,0,0,4,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NML_M_R,Water,12,8,0,27,10,32,0,24,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NML_M_R,Built-up,1,0,0,2,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NML_M_R,Forest,17,8,10,0,11,18,0,23,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NML_M_R,Grassland,0,0,0,2,0,1,0,3,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NML_M_R,Cropland,1,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NML_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NML_M_R,Water,0,1,0,18,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NML_M_R,Wetland,0,0,12,4,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NML_M_R,Forest,0,6,32,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NML_M_R,Grassland,0,2,2,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NML_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NML_M_R,Water,0,0,0,0,0,32,0,0,0,3,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NML_M_R,Forest,0,0,10,0,0,18,0,0,0,6,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NML_M_R,Grassland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NML_M_R,Bareland,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NML_M_R,Water,2,0,0,48,7,2,0,0,6,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NML_M_R,Forest,2,0,14,0,2,0,0,0,2,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NML_M_R,Wetland,0,0,2,13,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NML_M_R,Grassland,0,0,1,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NML_M_R,Bareland,0,0,1,0,0,0,0,0,0,0,0
