Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Lichens_and_Mosses,Wetland,Non_Water,Non_Wetland,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_17NRB_M_R,Shrubland,3,1,3,1,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17NRB_M_R,Grassland,0,15,31,17,6,42,1,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17NRB_M_R,Cropland,59,0,32,16,3,46,0,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17NRB_M_R,Wetland,88,0,43,3,27,82,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17NRB_M_R,Bareland,58,15,0,14,15,49,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17NRB_M_R,Built-up,16,10,15,0,2,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17NRB_M_R,Water,181,11,137,39,0,164,0,29,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17NRB_M_R,Forest,84,19,48,27,26,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17NRB_M_R,Permanent_ice_and_snow,23,4,13,2,1,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17NRB_M_R,Shrubland,0,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17NRB_M_R,Grassland,0,0,0,0,37,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17NRB_M_R,Wetland,0,0,0,0,88,0,0,0,30,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17NRB_M_R,Bareland,0,0,0,0,33,0,0,0,13,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17NRB_M_R,Built-up,0,0,0,0,12,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17NRB_M_R,Water,0,0,0,0,0,0,0,0,122,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17NRB_M_R,Forest,0,0,0,0,86,0,0,0,32,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17NRB_M_R,Cropland,0,0,0,0,19,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17NRB_M_R,Permanent_ice_and_snow,0,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17NRB_M_R,Forest,0,0,0,0,18,0,0,28,0,91,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17NRB_M_R,Wetland,0,0,0,0,11,0,0,0,0,111,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17NRB_M_R,Grassland,0,0,0,0,5,0,0,7,0,54,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17NRB_M_R,Water,0,0,0,0,0,0,0,50,0,89,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17NRB_M_R,Built-up,0,0,0,0,1,0,0,2,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17NRB_M_R,Bareland,0,0,0,0,14,0,0,12,0,15,0,0
