Dataset,MajorityClass,Forest,Wetland,Water,Built-up,Bareland,Grassland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LTL_M_R,Grassland,114,18,1,4,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTL_M_R,Non_Wetland,5,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTL_M_R,Wetland,55,0,28,0,6,81,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTL_M_R,Bareland,14,0,2,2,0,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTL_M_R,Water,139,21,0,0,18,115,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTL_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTL_M_R,Shrubland,11,0,0,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTL_M_R,Cropland,25,0,0,2,0,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTL_M_R,Lichens_and_Mosses,1,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTL_M_R,Built-up,1,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTL_M_R,Forest,0,0,83,1,4,143,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTL_M_R,Non_Wetland,0,5,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTL_M_R,Grassland,23,67,6,0,27,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTL_M_R,Bareland,4,6,1,0,0,21,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTL_M_R,Water,45,157,0,0,0,41,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTL_M_R,Forest,0,245,104,0,31,222,20,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTL_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTL_M_R,Shrubland,2,3,0,0,1,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTL_M_R,Cropland,0,3,0,0,2,26,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTL_M_R,Wetland,4,0,23,0,0,31,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTL_M_R,Lichens_and_Mosses,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTL_M_R,Built-up,1,0,0,0,1,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTL_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTL_M_R,Grassland,0,21,5,0,0,0,0,110,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTL_M_R,Wetland,0,0,0,0,0,0,0,31,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTL_M_R,Forest,0,129,28,0,0,0,0,289,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTL_M_R,Water,0,187,0,0,0,0,0,93,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTL_M_R,Shrubland,0,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTL_M_R,Cropland,0,0,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LTL_M_R,Bareland,0,4,0,0,0,0,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTL_M_R,Non_Wetland,0,1,0,0,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTL_M_R,Forest,0,98,129,0,119,245,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTL_M_R,Grassland,12,27,27,0,80,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTL_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTL_M_R,Water,30,7,0,0,51,106,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LTL_M_R,Shrubland,0,1,1,0,7,9,0,0,0,0,0,0
