Dataset,MajorityClass,Forest,Grassland,Water,Bareland,Wetland,Non_Wetland,Non_Water,Shrubland,Built-up,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MUQ_M_R,Grassland,5,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUQ_M_R,Non_Wetland,3,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUQ_M_R,Wetland,97,100,23,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUQ_M_R,Bareland,61,52,11,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUQ_M_R,Shrubland,3,5,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUQ_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUQ_M_R,Built-up,6,13,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUQ_M_R,Water,227,67,0,10,64,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MUQ_M_R,Forest,0,88,67,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUQ_M_R,Non_Wetland,0,2,0,3,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUQ_M_R,Forest,0,118,94,177,172,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUQ_M_R,Grassland,0,0,0,12,17,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUQ_M_R,Shrubland,0,2,2,4,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUQ_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUQ_M_R,Wetland,3,21,55,49,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUQ_M_R,Bareland,0,2,18,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUQ_M_R,Built-up,0,4,0,12,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MUQ_M_R,Water,19,6,0,122,104,0,0,0,0,0,0,0
