Dataset,MajorityClass,Forest,Wetland,Bareland,Cropland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MZT_M_R,Grassland,323,115,28,1,50,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZT_M_R,Non_Wetland,3,3,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZT_M_R,Cropland,98,0,3,0,11,2,98,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZT_M_R,Wetland,684,0,39,18,7,283,1270,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZT_M_R,Bareland,64,6,0,0,13,6,104,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZT_M_R,Built-up,124,0,44,0,0,9,183,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZT_M_R,Forest,0,67,19,0,42,28,464,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZT_M_R,Water,395,521,63,11,2,0,557,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZT_M_R,Shrubland,15,1,2,1,10,0,27,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZT_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZT_M_R,Non_Wetland,1,4,1,0,0,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZT_M_R,Grassland,112,406,132,0,39,114,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZT_M_R,Wetland,77,0,93,0,10,881,334,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZT_M_R,Bareland,15,37,0,0,6,39,59,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZT_M_R,Forest,0,573,106,0,44,166,409,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZT_M_R,Water,66,665,23,0,17,0,112,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZT_M_R,Shrubland,5,15,7,0,5,2,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZT_M_R,Built-up,24,66,77,0,0,46,58,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZT_M_R,Cropland,37,43,10,0,5,4,76,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZT_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,2,0,0,0,0,0
