Dataset,MajorityClass,Grassland,Wetland,Water,Forest,Bareland,Cropland,Built-up,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18MTA_M_R,Shrubland,1,1,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTA_M_R,Grassland,0,2,3,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTA_M_R,Cropland,16,0,9,6,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTA_M_R,Wetland,33,0,39,39,9,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTA_M_R,Bareland,20,0,25,24,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTA_M_R,Water,75,19,0,87,37,4,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTA_M_R,Forest,67,16,46,0,38,7,10,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTA_M_R,Built-up,12,0,3,13,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MTA_M_R,Permanent_ice_and_snow,2,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTA_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTA_M_R,Forest,0,36,15,0,0,0,0,42,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTA_M_R,Wetland,0,0,7,0,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTA_M_R,Bareland,0,18,4,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTA_M_R,Water,0,50,0,0,0,0,0,15,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTA_M_R,Grassland,0,3,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTA_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTA_M_R,Grassland,0,0,9,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTA_M_R,Cropland,0,0,11,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTA_M_R,Wetland,0,0,45,0,0,0,0,0,31,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTA_M_R,Water,0,0,0,0,0,0,0,0,86,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTA_M_R,Forest,0,0,87,0,0,0,0,0,40,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTA_M_R,Bareland,0,0,31,0,0,0,0,0,12,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTA_M_R,Built-up,0,0,9,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTA_M_R,Water,22,50,0,52,28,44,30,0,0,60,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTA_M_R,Wetland,0,0,7,7,0,1,0,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTA_M_R,Bareland,4,18,4,19,0,15,11,0,0,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTA_M_R,Built-up,4,0,0,6,6,6,0,0,0,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTA_M_R,Forest,17,36,15,0,18,48,16,0,0,62,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTA_M_R,Grassland,0,3,0,7,0,8,0,0,0,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTA_M_R,Cropland,2,0,0,9,0,0,1,0,0,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTA_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTA_M_R,Water,0,28,0,50,59,0,22,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTA_M_R,Forest,0,26,43,0,12,0,28,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTA_M_R,Wetland,0,0,23,25,11,0,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTA_M_R,Grassland,0,0,1,13,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTA_M_R,Bareland,0,0,18,3,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTA_M_R,Built-up,0,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTA_M_R,Cropland,0,0,3,9,1,0,6,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTA_M_R,Water,13,22,0,69,36,29,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTA_M_R,Wetland,7,0,25,45,8,14,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTA_M_R,Forest,15,5,21,0,17,13,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTA_M_R,Grassland,0,0,2,4,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTA_M_R,Bareland,0,1,5,3,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTA_M_R,Built-up,0,0,1,1,0,0,0,0,0,0,0
