Dataset,MajorityClass,Grassland,Bareland,Water,Forest,Built-up,Wetland,Cropland,Non_Water,Non_Wetland,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18NYF_M_R,Shrubland,1,1,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYF_M_R,Grassland,0,1,2,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYF_M_R,Cropland,4,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYF_M_R,Wetland,33,1,18,15,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYF_M_R,Bareland,3,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYF_M_R,Built-up,4,0,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYF_M_R,Water,33,6,0,31,0,7,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYF_M_R,Forest,48,8,21,0,5,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NYF_M_R,Permanent_ice_and_snow,3,1,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYF_M_R,Grassland,0,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYF_M_R,Wetland,0,0,15,0,0,0,0,11,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYF_M_R,Water,0,0,0,0,0,0,0,40,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYF_M_R,Bareland,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYF_M_R,Forest,0,0,18,0,0,0,0,15,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYF_M_R,Wetland,0,0,3,0,0,0,0,0,18,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYF_M_R,Water,0,0,0,0,0,30,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYF_M_R,Forest,0,0,7,0,0,17,0,0,22,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYF_M_R,Grassland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYF_M_R,Bareland,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYF_M_R,Wetland,2,0,3,6,7,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYF_M_R,Built-up,2,0,0,0,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYF_M_R,Water,20,8,0,21,10,30,0,0,0,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYF_M_R,Forest,21,14,7,0,24,17,2,0,0,19,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYF_M_R,Grassland,0,0,0,4,0,1,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYF_M_R,Cropland,2,0,0,3,1,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYF_M_R,Bareland,1,0,0,3,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYF_M_R,Permanent_ice_and_snow,1,0,0,3,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYF_M_R,Grassland,0,0,3,4,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYF_M_R,Wetland,0,0,15,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYF_M_R,Forest,0,1,32,0,5,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYF_M_R,Water,0,4,0,7,0,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYF_M_R,Bareland,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYF_M_R,Permanent_ice_and_snow,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NYF_M_R,Wetland,1,4,18,16,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NYF_M_R,Forest,2,1,6,0,0,4,1,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NYF_M_R,Grassland,0,1,2,3,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NYF_M_R,Water,0,4,0,35,0,12,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NYF_M_R,Built-up,0,0,0,3,0,0,0,0,0,0,0,0
