Dataset,MajorityClass,Grassland,Cropland,Forest,Bareland,Built-up,Water,Wetland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KGA_M_R,Shrubland,121,27,72,3,5,5,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGA_M_R,Grassland,0,152,210,14,28,20,22,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGA_M_R,Non_Wetland,8,3,9,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGA_M_R,Bareland,126,41,81,0,43,38,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGA_M_R,Built-up,416,175,344,194,0,73,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGA_M_R,Water,770,245,925,220,133,0,194,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGA_M_R,Forest,1101,342,0,109,231,375,131,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGA_M_R,Cropland,898,0,641,225,274,159,30,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGA_M_R,Wetland,625,243,613,14,25,227,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGA_M_R,Non_Water,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGA_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KGA_M_R,Permanent_ice_and_snow,2,0,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGA_M_R,Non_Wetland,2,0,2,0,0,1,12,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGA_M_R,Shrubland,15,0,23,8,14,4,37,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGA_M_R,Grassland,0,0,118,19,59,104,229,38,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGA_M_R,Cropland,288,0,389,273,365,286,470,80,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGA_M_R,Wetland,44,0,165,7,4,361,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGA_M_R,Bareland,3,0,28,0,41,152,9,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGA_M_R,Built-up,48,0,112,167,0,128,116,27,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGA_M_R,Forest,280,0,0,156,243,494,1012,188,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGA_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGA_M_R,Water,80,0,332,50,153,0,570,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KGA_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGA_M_R,Wetland,0,0,0,0,0,31,0,0,820,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGA_M_R,Grassland,0,0,0,0,0,10,85,0,448,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGA_M_R,Cropland,0,0,0,0,0,35,85,0,777,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGA_M_R,Forest,0,0,0,0,0,138,352,0,1860,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGA_M_R,Shrubland,0,0,0,0,0,0,0,0,68,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGA_M_R,Built-up,0,0,0,0,0,23,37,0,218,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGA_M_R,Bareland,0,0,0,0,0,12,9,0,25,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGA_M_R,Water,0,0,0,0,0,0,488,0,863,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGA_M_R,Grassland,0,84,84,52,25,78,182,70,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGA_M_R,Non_Wetland,0,1,1,1,0,0,12,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGA_M_R,Forest,214,238,0,424,182,302,819,273,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGA_M_R,Wetland,20,61,173,40,4,365,0,23,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGA_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGA_M_R,Shrubland,11,9,15,22,5,0,31,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGA_M_R,Built-up,65,77,88,295,0,13,104,65,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGA_M_R,Water,5,111,425,387,140,0,490,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGA_M_R,Cropland,265,0,221,396,244,87,295,136,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGA_M_R,Bareland,4,20,27,0,23,10,15,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGA_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGA_M_R,Grassland,0,458,196,46,99,10,85,344,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGA_M_R,Built-up,3,343,94,29,0,23,37,300,0,14,0,0
