Dataset,MajorityClass,Forest,Built-up,Grassland,Bareland,Water,Wetland,Shrubland,Cropland,Non_Wetland,Permanent_ice_and_snow,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_20NLK_M_R,Grassland,36,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLK_M_R,Shrubland,5,2,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLK_M_R,Forest,0,1,141,26,57,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLK_M_R,Wetland,11,0,6,2,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLK_M_R,Bareland,8,0,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLK_M_R,Built-up,5,0,10,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLK_M_R,Water,133,0,37,44,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLK_M_R,Cropland,3,0,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLK_M_R,Permanent_ice_and_snow,2,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLK_M_R,Forest,0,0,131,23,64,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLK_M_R,Shrubland,4,0,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLK_M_R,Grassland,26,0,0,8,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLK_M_R,Wetland,1,0,3,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLK_M_R,Built-up,0,0,8,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLK_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLK_M_R,Water,53,0,14,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLK_M_R,Grassland,30,1,0,0,0,2,42,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLK_M_R,Forest,0,7,81,8,49,83,130,8,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLK_M_R,Built-up,1,0,0,0,0,0,11,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLK_M_R,Water,91,0,13,1,0,92,30,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLK_M_R,Cropland,2,0,1,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLK_M_R,Bareland,5,0,4,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLK_M_R,Permanent_ice_and_snow,2,0,1,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLK_M_R,Shrubland,1,0,3,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLK_M_R,Grassland,32,0,0,2,0,9,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLK_M_R,Forest,0,0,71,26,54,133,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLK_M_R,Wetland,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLK_M_R,Built-up,7,0,5,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLK_M_R,Water,94,0,0,1,0,80,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLK_M_R,Cropland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLK_M_R,Shrubland,0,0,0,0,0,0,0,0,2,0,0
