Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_25MBM_M_R,Shrubland,369,100,18,38,149,5,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBM_M_R,Grassland,0,570,130,150,502,160,30,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBM_M_R,Non_Wetland,5,1,0,1,1,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBM_M_R,Bareland,831,170,0,121,157,162,66,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBM_M_R,Built-up,938,400,367,0,562,200,80,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBM_M_R,Water,2100,667,648,141,883,641,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBM_M_R,Forest,2124,718,161,237,0,644,151,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBM_M_R,Cropland,1217,0,240,230,556,147,33,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBM_M_R,Wetland,1376,321,139,61,466,0,206,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBM_M_R,Non_Water,0,0,1,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBM_M_R,Lichens_and_Mosses,2,1,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBM_M_R,Permanent_ice_and_snow,88,23,6,3,38,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBM_M_R,Non_Wetland,1,0,2,1,1,4,1,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBM_M_R,Shrubland,69,0,19,8,41,4,17,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBM_M_R,Grassland,0,0,227,222,320,122,190,465,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBM_M_R,Cropland,796,0,287,362,322,120,126,494,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBM_M_R,Wetland,141,0,344,143,362,0,729,138,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBM_M_R,Bareland,82,0,0,293,57,10,234,58,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBM_M_R,Built-up,306,0,345,0,109,89,169,159,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBM_M_R,Forest,774,0,409,410,0,456,414,1087,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBM_M_R,Non_Water,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBM_M_R,Water,322,0,345,445,515,223,0,431,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBM_M_R,Permanent_ice_and_snow,20,0,22,5,3,0,3,25,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MBM_M_R,Wetland,0,0,0,0,0,0,29,0,1761,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MBM_M_R,Bareland,0,0,0,0,0,145,11,0,332,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MBM_M_R,Water,0,0,0,0,0,1120,0,0,973,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MBM_M_R,Shrubland,0,0,0,0,0,0,0,0,120,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MBM_M_R,Grassland,0,0,0,0,0,169,16,0,865,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MBM_M_R,Cropland,0,0,0,0,0,135,11,0,608,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MBM_M_R,Built-up,0,0,0,0,0,178,17,0,396,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MBM_M_R,Forest,0,0,0,0,0,579,80,0,1748,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MBM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,15,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBM_M_R,Non_Wetland,1,1,2,1,1,5,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBM_M_R,Grassland,0,424,208,218,255,52,91,500,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBM_M_R,Forest,838,633,282,325,0,380,237,1090,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBM_M_R,Built-up,292,218,437,0,68,79,62,106,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBM_M_R,Wetland,151,202,306,92,324,0,313,260,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBM_M_R,Non_Water,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBM_M_R,Water,211,297,550,349,378,231,0,523,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBM_M_R,Shrubland,65,32,25,15,19,12,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBM_M_R,Cropland,618,0,296,323,216,35,71,400,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBM_M_R,Bareland,124,82,0,149,16,22,73,41,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBM_M_R,Lichens_and_Mosses,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBM_M_R,Permanent_ice_and_snow,18,15,18,3,2,0,0,20,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MBM_M_R,Grassland,0,0,0,0,0,0,290,0,0,226,0,0
