Dataset,MajorityClass,Wetland,Bareland,Grassland,Forest,Shrubland,Water,Built-up,Cropland,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZN_M_R,Non_Wetland,5,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZN_M_R,Shrubland,9,7,9,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZN_M_R,Grassland,37,13,0,46,2,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZN_M_R,Bareland,22,0,23,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZN_M_R,Water,232,1,114,84,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZN_M_R,Forest,293,56,208,0,11,123,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZN_M_R,Cropland,3,5,30,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZN_M_R,Wetland,0,1,22,10,0,68,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZN_M_R,Built-up,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZN_M_R,Non_Wetland,0,0,2,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZN_M_R,Shrubland,0,0,11,16,0,0,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZN_M_R,Grassland,0,13,0,114,0,1,12,10,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZN_M_R,Bareland,0,0,15,11,0,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZN_M_R,Water,15,44,182,322,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZN_M_R,Wetland,0,11,135,158,0,68,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZN_M_R,Cropland,0,0,18,18,0,0,11,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZN_M_R,Forest,1,6,136,0,0,54,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZN_M_R,Built-up,0,2,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZN_M_R,Grassland,10,120,0,18,22,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZN_M_R,Forest,96,154,237,0,46,160,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZN_M_R,Non_Wetland,2,2,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZN_M_R,Water,71,153,112,34,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZN_M_R,Shrubland,5,8,7,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZN_M_R,Cropland,3,28,10,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZN_M_R,Wetland,0,61,91,10,2,88,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZN_M_R,Built-up,0,6,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZN_M_R,Bareland,1,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZN_M_R,Grassland,29,0,0,0,0,13,0,0,51,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZN_M_R,Wetland,0,0,0,0,0,1,0,0,50,0
