Dataset,MajorityClass,Grassland,Cropland,Forest,Bareland,Water,Wetland,Built-up,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KCG_M_R,Shrubland,225,40,147,38,45,39,35,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCG_M_R,Grassland,0,111,172,65,47,22,32,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCG_M_R,Non_Wetland,4,0,6,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCG_M_R,Bareland,130,21,67,0,30,2,44,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCG_M_R,Water,581,4,490,201,0,91,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCG_M_R,Forest,770,201,0,127,314,53,80,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCG_M_R,Cropland,549,0,388,129,47,16,105,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCG_M_R,Wetland,52,0,22,5,37,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCG_M_R,Built-up,124,23,115,41,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KCG_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCG_M_R,Non_Wetland,2,0,0,0,0,9,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCG_M_R,Shrubland,71,0,19,34,33,41,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCG_M_R,Grassland,0,0,86,70,51,125,15,197,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCG_M_R,Cropland,526,0,195,167,47,100,68,458,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCG_M_R,Wetland,3,0,3,6,41,0,0,45,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCG_M_R,Bareland,98,0,3,0,42,9,8,88,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCG_M_R,Water,246,0,125,130,0,97,0,610,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCG_M_R,Forest,559,0,0,268,498,386,57,1021,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCG_M_R,Built-up,94,0,12,73,20,9,0,75,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCG_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCG_M_R,Grassland,0,84,51,144,35,93,13,171,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCG_M_R,Non_Wetland,2,0,0,3,0,6,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCG_M_R,Water,162,2,143,678,0,161,0,378,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCG_M_R,Forest,533,161,0,801,202,416,23,762,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCG_M_R,Bareland,95,11,0,0,13,0,5,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCG_M_R,Wetland,11,0,0,56,6,0,0,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCG_M_R,Shrubland,73,18,17,102,14,32,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCG_M_R,Cropland,495,0,68,333,27,69,44,258,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCG_M_R,Built-up,135,17,2,138,5,9,0,55,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCG_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCG_M_R,Grassland,0,0,0,0,23,5,0,0,223,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCG_M_R,Wetland,0,0,0,0,0,0,0,0,114,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCG_M_R,Bareland,0,0,0,0,4,4,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCG_M_R,Shrubland,0,0,0,0,0,0,0,0,106,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCG_M_R,Cropland,0,0,0,0,3,3,0,0,179,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCG_M_R,Water,0,0,0,0,0,244,0,0,210,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCG_M_R,Built-up,0,0,0,0,1,0,0,0,18,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCG_M_R,Forest,0,0,0,0,114,115,0,0,762,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCG_M_R,Water,0,0,0,0,0,0,0,0,0,463,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCG_M_R,Shrubland,0,0,0,0,51,0,0,0,0,27,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCG_M_R,Grassland,0,0,0,0,79,0,0,0,0,16,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCG_M_R,Bareland,0,0,0,0,35,0,0,0,0,36,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCG_M_R,Cropland,0,0,0,0,45,0,0,0,0,18,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCG_M_R,Wetland,0,0,0,0,39,0,0,0,0,13,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCG_M_R,Built-up,0,0,0,0,5,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCG_M_R,Forest,0,0,0,0,341,0,0,0,0,250,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCG_M_R,Grassland,0,463,227,21,23,5,130,432,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCG_M_R,Water,1,610,308,93,0,244,204,463,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCG_M_R,Forest,3,877,0,74,114,115,257,800,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCG_M_R,Bareland,0,200,32,0,4,4,135,127,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCG_M_R,Cropland,0,0,220,10,3,3,125,372,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCG_M_R,Wetland,0,10,25,2,0,0,6,38,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCG_M_R,Built-up,0,127,9,1,1,0,0,72,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCG_M_R,Shrubland,0,40,18,3,0,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCG_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCG_M_R,Grassland,0,453,235,7,52,2,78,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCG_M_R,Forest,0,501,0,0,440,2,171,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCG_M_R,Shrubland,0,132,84,0,56,0,49,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCG_M_R,Wetland,0,31,26,0,26,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCG_M_R,Bareland,0,122,19,0,65,0,57,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCG_M_R,Built-up,0,32,6,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCG_M_R,Water,0,160,130,3,0,8,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCG_M_R,Cropland,0,0,159,6,5,0,73,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCG_M_R,Forest,150,162,0,40,59,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCG_M_R,Shrubland,74,67,208,30,50,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCG_M_R,Cropland,140,0,213,131,28,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCG_M_R,Wetland,25,2,72,1,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCG_M_R,Bareland,4,28,57,0,12,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCG_M_R,Water,20,11,644,106,0,15,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCG_M_R,Built-up,6,46,72,31,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCG_M_R,Grassland,0,87,151,74,42,2,0,0,0,0,0,3
