Dataset,MajorityClass,Grassland,Built-up,Forest,Cropland,Bareland,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LWC_M_R,Shrubland,436,72,257,44,73,108,263,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWC_M_R,Non_Wetland,13,0,10,1,0,1,30,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWC_M_R,Grassland,0,59,303,133,98,72,368,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWC_M_R,Bareland,521,112,357,47,0,220,205,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWC_M_R,Water,1704,58,1042,69,438,0,1267,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWC_M_R,Forest,1204,153,0,135,172,473,1009,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWC_M_R,Cropland,649,105,464,0,131,64,285,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWC_M_R,Wetland,744,5,356,64,90,360,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWC_M_R,Built-up,449,0,362,29,144,70,99,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWC_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWC_M_R,Lichens_and_Mosses,7,2,3,0,2,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWC_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWC_M_R,Non_Wetland,10,0,3,0,6,5,15,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWC_M_R,Shrubland,151,27,29,0,116,54,91,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWC_M_R,Grassland,0,62,106,0,164,121,208,272,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWC_M_R,Cropland,662,92,169,0,241,99,140,385,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWC_M_R,Wetland,614,17,56,0,413,564,0,469,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWC_M_R,Bareland,287,98,34,0,0,161,63,185,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWC_M_R,Built-up,249,0,57,0,173,60,31,266,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWC_M_R,Water,1185,230,274,0,1066,0,476,1128,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWC_M_R,Forest,1122,286,0,0,972,557,615,1284,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWC_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWC_M_R,Lichens_and_Mosses,4,1,1,0,2,0,2,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWC_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWC_M_R,Wetland,0,0,0,0,0,187,0,0,1219,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWC_M_R,Shrubland,0,0,0,0,0,0,0,0,446,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWC_M_R,Grassland,0,0,0,0,0,121,119,0,731,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWC_M_R,Forest,0,0,0,0,0,453,387,0,2085,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWC_M_R,Bareland,0,0,0,0,0,149,88,0,312,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWC_M_R,Water,0,0,0,0,0,0,806,0,921,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWC_M_R,Built-up,0,0,0,0,0,100,18,0,192,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWC_M_R,Cropland,0,0,0,0,0,38,10,0,502,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWC_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,3,0,0,0
