Dataset,MajorityClass,Grassland,Cropland,Forest,Bareland,Wetland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LWF_M_R,Shrubland,190,45,100,14,7,18,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWF_M_R,Grassland,0,121,190,43,15,32,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWF_M_R,Non_Wetland,7,3,6,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWF_M_R,Forest,944,263,0,82,71,140,129,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWF_M_R,Cropland,731,0,417,163,3,156,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWF_M_R,Wetland,164,1,130,2,0,0,46,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWF_M_R,Bareland,237,47,90,0,0,51,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWF_M_R,Built-up,235,86,145,63,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWF_M_R,Water,664,38,588,128,149,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWF_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LWF_M_R,Lichens_and_Mosses,2,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWF_M_R,Non_Wetland,3,0,3,0,11,0,1,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWF_M_R,Shrubland,52,0,23,20,34,5,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWF_M_R,Grassland,0,0,89,65,100,22,44,111,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWF_M_R,Cropland,446,0,322,207,167,136,38,274,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWF_M_R,Bareland,77,0,58,0,20,35,25,32,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWF_M_R,Built-up,59,0,33,105,18,0,13,54,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWF_M_R,Water,233,0,199,49,244,1,0,156,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWF_M_R,Forest,588,0,0,202,534,71,265,522,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWF_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWF_M_R,Wetland,72,0,50,4,0,1,71,24,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWF_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWF_M_R,Grassland,0,80,32,226,93,7,42,113,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWF_M_R,Non_Wetland,2,1,0,2,10,0,3,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWF_M_R,Wetland,40,1,14,26,0,0,121,75,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWF_M_R,Forest,606,213,0,658,422,45,279,674,0,0,0,0
