Dataset,MajorityClass,Grassland,Cropland,Wetland,Water,Forest,Bareland,Built-up,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21NVH_M_R,Shrubland,3,2,3,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVH_M_R,Grassland,0,13,36,8,6,1,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVH_M_R,Cropland,76,0,76,37,30,23,10,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVH_M_R,Wetland,96,18,0,66,40,34,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVH_M_R,Built-up,21,6,19,8,8,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVH_M_R,Water,88,23,108,0,31,51,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVH_M_R,Forest,63,22,67,33,0,10,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVH_M_R,Bareland,36,4,27,4,3,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21NVH_M_R,Permanent_ice_and_snow,4,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVH_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVH_M_R,Grassland,0,0,9,2,0,0,0,46,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVH_M_R,Cropland,0,0,21,9,0,0,0,102,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVH_M_R,Built-up,0,0,2,1,0,0,0,21,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVH_M_R,Forest,0,0,30,9,0,0,0,86,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVH_M_R,Wetland,0,0,0,18,0,0,0,167,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVH_M_R,Water,0,0,46,0,0,0,0,80,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVH_M_R,Bareland,0,0,8,0,0,0,0,30,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NVH_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVH_M_R,Shrubland,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVH_M_R,Wetland,0,0,0,85,0,0,0,0,42,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVH_M_R,Water,0,0,0,0,0,0,0,0,93,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVH_M_R,Forest,0,0,0,38,0,0,0,0,25,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVH_M_R,Cropland,0,0,0,80,0,0,0,0,19,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVH_M_R,Built-up,0,0,0,14,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVH_M_R,Grassland,0,0,0,24,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NVH_M_R,Bareland,0,0,0,19,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVH_M_R,Water,11,50,55,0,66,2,17,0,0,99,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVH_M_R,Cropland,24,0,22,9,64,0,24,0,0,79,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVH_M_R,Wetland,6,35,0,18,52,0,5,0,0,57,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVH_M_R,Bareland,7,11,8,0,19,0,14,0,0,37,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVH_M_R,Built-up,7,13,2,1,15,2,0,0,0,20,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVH_M_R,Forest,8,38,39,10,0,2,10,0,0,58,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVH_M_R,Grassland,0,20,9,2,27,2,6,0,0,34,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NVH_M_R,Permanent_ice_and_snow,0,0,0,0,4,0,0,0,0,4,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NVH_M_R,Water,0,110,31,0,15,7,50,0,0,0,0
