Dataset,MajorityClass,Forest,Wetland,Built-up,Water,Bareland,Grassland,Shrubland,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20MRA_M_R,Grassland,379,36,14,3,16,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRA_M_R,Non_Wetland,9,0,0,0,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRA_M_R,Wetland,936,0,7,171,21,1191,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRA_M_R,Bareland,52,1,14,2,0,133,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRA_M_R,Built-up,112,2,0,6,14,109,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRA_M_R,Water,991,448,4,0,65,1136,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRA_M_R,Shrubland,19,1,5,1,0,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRA_M_R,Cropland,27,1,3,0,1,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRA_M_R,Forest,0,64,45,82,16,613,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MRA_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRA_M_R,Non_Wetland,2,9,0,2,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRA_M_R,Grassland,65,358,9,252,213,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRA_M_R,Wetland,101,0,1,612,163,498,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRA_M_R,Bareland,4,25,2,33,0,45,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRA_M_R,Water,189,785,18,0,159,495,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRA_M_R,Forest,0,766,23,502,210,566,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRA_M_R,Shrubland,6,12,0,6,5,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MRA_M_R,Cropland,1,19,5,4,2,19,0,0,0,0,0,0
