Dataset,MajorityClass,Shrubland,Wetland,Forest,Bareland,Built-up,Water,Grassland,Cropland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPK_M_R,Grassland,59,277,81,78,20,69,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPK_M_R,Non_Wetland,0,2,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPK_M_R,Cropland,1,37,9,6,0,0,36,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPK_M_R,Bareland,3,30,14,0,9,17,77,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPK_M_R,Water,5,386,163,11,1,0,448,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPK_M_R,Shrubland,0,41,17,15,6,12,40,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPK_M_R,Wetland,4,0,54,0,0,161,239,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPK_M_R,Built-up,1,10,13,40,0,0,54,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPK_M_R,Forest,93,396,0,121,27,146,420,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPK_M_R,Permanent_ice_and_snow,0,1,0,0,0,2,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPK_M_R,Grassland,0,140,214,47,9,26,0,20,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPK_M_R,Non_Wetland,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPK_M_R,Cropland,0,13,32,7,0,0,53,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPK_M_R,Wetland,0,0,228,31,0,132,349,5,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPK_M_R,Bareland,0,13,56,0,6,27,127,6,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPK_M_R,Water,0,314,537,143,1,0,468,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPK_M_R,Shrubland,0,13,46,18,7,5,64,2,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPK_M_R,Built-up,0,2,82,29,0,4,99,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPK_M_R,Forest,0,59,0,41,29,111,330,4,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPK_M_R,Permanent_ice_and_snow,0,0,2,7,0,1,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPK_M_R,Non_Wetland,0,1,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPK_M_R,Forest,52,378,0,92,27,193,474,74,0,0,0
