Dataset,MajorityClass,Forest,Grassland,Bareland,Water,Wetland,Shrubland,Cropland,Non_Wetland,Non_Water,Built-up
AMAZON_EXTENSION_2024_WorldCover_2021_21MZM_M_R,Shrubland,27,28,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZM_M_R,Grassland,25,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZM_M_R,Non_Wetland,4,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZM_M_R,Cropland,8,14,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZM_M_R,Wetland,184,212,47,56,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZM_M_R,Bareland,8,8,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZM_M_R,Water,205,154,36,0,36,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MZM_M_R,Forest,0,114,2,30,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZM_M_R,Shrubland,7,6,18,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZM_M_R,Grassland,10,0,23,1,13,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZM_M_R,Non_Wetland,1,1,2,0,3,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZM_M_R,Cropland,4,0,17,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZM_M_R,Bareland,0,1,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZM_M_R,Water,46,1,3,0,212,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZM_M_R,Forest,0,75,103,115,249,39,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZM_M_R,Wetland,10,2,3,130,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZM_M_R,Forest,0,160,34,124,180,100,15,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZM_M_R,Non_Wetland,0,2,0,1,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZM_M_R,Grassland,1,0,4,1,13,4,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZM_M_R,Water,34,25,0,0,119,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZM_M_R,Shrubland,1,7,6,4,10,0,8,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZM_M_R,Cropland,0,3,0,4,5,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZM_M_R,Wetland,5,78,0,156,0,35,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZM_M_R,Bareland,0,2,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZM_M_R,Grassland,0,0,0,0,1,0,0,26,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZM_M_R,Wetland,0,0,0,9,0,0,0,93,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZM_M_R,Forest,0,0,0,59,114,0,0,322,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZM_M_R,Water,0,0,0,0,196,0,0,126,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZM_M_R,Shrubland,0,0,0,0,0,0,0,14,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZM_M_R,Cropland,0,0,0,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZM_M_R,Bareland,0,0,0,0,1,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZM_M_R,Wetland,0,0,0,214,0,0,0,0,90,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZM_M_R,Grassland,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZM_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZM_M_R,Forest,0,0,0,116,0,0,0,0,61,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZM_M_R,Water,0,0,0,0,0,0,0,0,96,0
