Dataset,MajorityClass,Forest,Built-up,Water,Bareland,Cropland,Grassland,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LVL_M_R,Grassland,108,1,1,7,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVL_M_R,Non_Wetland,9,0,0,0,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVL_M_R,Shrubland,47,0,1,2,0,69,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVL_M_R,Wetland,209,0,62,12,0,186,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVL_M_R,Bareland,23,1,8,0,0,80,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVL_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVL_M_R,Water,317,0,0,39,0,201,55,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVL_M_R,Cropland,36,1,0,2,0,41,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVL_M_R,Built-up,27,0,0,2,0,24,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVL_M_R,Forest,0,2,82,2,0,301,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LVL_M_R,Permanent_ice_and_snow,1,0,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVL_M_R,Non_Wetland,2,0,0,2,0,1,10,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVL_M_R,Shrubland,17,0,5,14,0,10,25,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVL_M_R,Grassland,61,0,25,40,0,0,93,30,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVL_M_R,Bareland,11,0,27,0,0,40,26,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVL_M_R,Forest,0,0,206,100,0,224,449,155,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVL_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVL_M_R,Water,73,0,0,18,0,68,221,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVL_M_R,Cropland,19,0,0,4,0,43,9,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVL_M_R,Wetland,19,0,155,11,0,29,0,13,0,0,0,0
