Dataset,MajorityClass,Grassland,Forest,Wetland,Bareland,Water,Built-up,Non_Water,Non_Wetland,Shrubland,Cropland
AMAZON_EXTENSION_2024_WorldCover_2021_19NCC_M_R,Shrubland,3,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCC_M_R,Grassland,0,9,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCC_M_R,Wetland,21,10,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCC_M_R,Bareland,6,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCC_M_R,Built-up,6,5,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCC_M_R,Forest,46,0,8,0,9,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCC_M_R,Water,33,19,8,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCC_M_R,Cropland,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NCC_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCC_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCC_M_R,Grassland,0,0,0,0,13,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCC_M_R,Wetland,0,0,0,0,6,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCC_M_R,Forest,0,0,0,0,28,0,11,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NCC_M_R,Water,0,0,0,0,0,0,24,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCC_M_R,Grassland,0,0,8,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCC_M_R,Forest,0,0,21,0,5,0,0,13,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCC_M_R,Built-up,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCC_M_R,Wetland,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NCC_M_R,Water,0,0,20,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCC_M_R,Forest,14,0,2,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NCC_M_R,Built-up,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCC_M_R,Built-up,2,1,1,2,0,0,0,0,3,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCC_M_R,Forest,26,0,21,2,5,12,0,0,23,4
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCC_M_R,Grassland,0,10,8,0,0,1,0,0,7,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCC_M_R,Cropland,0,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCC_M_R,Wetland,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCC_M_R,Water,9,12,20,0,0,6,0,0,3,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCC_M_R,Bareland,0,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NCC_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCC_M_R,Grassland,0,17,0,0,8,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCC_M_R,Wetland,0,4,0,0,8,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCC_M_R,Forest,0,0,3,0,17,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCC_M_R,Built-up,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCC_M_R,Water,0,9,7,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NCC_M_R,Bareland,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCC_M_R,Wetland,1,13,0,1,7,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCC_M_R,Water,5,33,6,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCC_M_R,Forest,5,0,0,0,3,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NCC_M_R,Grassland,0,7,0,1,0,0,0,0,0,1
