Dataset,MajorityClass,Grassland,Bareland,Built-up,Water,Forest,Wetland,Cropland,Non_Water,Non_Wetland,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_18MXA_M_R,Shrubland,3,1,2,2,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXA_M_R,Grassland,0,0,4,19,48,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXA_M_R,Cropland,79,10,10,19,51,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXA_M_R,Wetland,143,7,2,67,106,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXA_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXA_M_R,Bareland,30,0,1,7,29,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXA_M_R,Built-up,26,12,0,11,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXA_M_R,Water,207,53,13,0,164,51,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXA_M_R,Forest,127,31,20,69,0,20,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXA_M_R,Shrubland,0,0,0,3,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXA_M_R,Grassland,0,0,0,54,0,0,0,27,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXA_M_R,Cropland,0,0,0,27,0,0,0,15,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXA_M_R,Wetland,0,0,0,127,0,0,0,51,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXA_M_R,Bareland,0,0,0,12,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXA_M_R,Built-up,0,0,0,17,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXA_M_R,Water,0,0,0,0,0,0,0,182,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXA_M_R,Forest,0,0,0,121,0,0,0,61,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXA_M_R,Shrubland,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXA_M_R,Grassland,0,0,0,8,0,12,0,0,61,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXA_M_R,Bareland,0,0,0,10,0,8,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXA_M_R,Wetland,0,0,0,6,0,0,0,0,137,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXA_M_R,Forest,0,0,0,26,0,36,0,0,109,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXA_M_R,Water,0,0,0,0,0,65,0,0,83,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXA_M_R,Built-up,0,0,0,2,0,2,0,0,5,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXA_M_R,Cropland,0,0,0,6,0,6,0,0,17,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXA_M_R,Water,45,57,54,0,72,65,28,0,0,99,5
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXA_M_R,Cropland,13,15,20,6,23,6,0,0,0,53,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXA_M_R,Wetland,12,16,22,6,21,0,8,0,0,40,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXA_M_R,Bareland,9,0,12,10,14,8,1,0,0,22,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXA_M_R,Built-up,11,7,0,2,8,2,4,0,0,18,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXA_M_R,Forest,48,52,59,26,0,36,39,0,0,90,15
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXA_M_R,Grassland,0,18,17,8,22,12,13,0,0,38,2
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXA_M_R,Water,0,36,83,0,88,108,74,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXA_M_R,Grassland,0,1,21,25,38,49,37,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXA_M_R,Wetland,0,10,25,44,44,0,35,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXA_M_R,Built-up,0,0,0,2,1,0,3,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXA_M_R,Forest,0,7,50,55,0,72,48,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXA_M_R,Bareland,0,0,15,3,9,0,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXA_M_R,Cropland,0,0,15,10,10,17,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXA_M_R,Water,54,30,0,0,104,40,65,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXA_M_R,Wetland,34,9,0,37,45,0,39,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXA_M_R,Built-up,2,4,0,7,10,5,7,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXA_M_R,Forest,33,15,0,30,0,24,32,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXA_M_R,Grassland,0,3,0,10,14,8,10,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MXA_M_R,Bareland,0,0,0,2,0,0,1,0,0,0,0
