Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LXJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Cropland
48,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
