Dataset,MajorityClass,Cropland,Bareland,Built-up,Forest,Water,Wetland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23MMR_M_R,Grassland,211,110,163,519,165,257,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMR_M_R,Non_Wetland,0,1,1,6,3,1,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMR_M_R,Bareland,54,0,48,150,266,34,474,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMR_M_R,Built-up,54,53,0,174,11,5,268,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMR_M_R,Forest,111,44,91,0,240,261,1009,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMR_M_R,Shrubland,9,4,18,32,9,10,58,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMR_M_R,Cropland,0,17,27,147,3,7,167,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMR_M_R,Wetland,371,59,88,901,434,0,1715,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMR_M_R,Water,180,231,40,936,0,806,1301,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMR_M_R,Non_Water,0,0,0,0,2,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMR_M_R,Lichens_and_Mosses,0,0,0,1,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMR_M_R,Permanent_ice_and_snow,0,1,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMR_M_R,Non_Wetland,0,0,1,2,0,15,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMR_M_R,Shrubland,0,10,8,16,8,26,51,0,0,0,0,0
