Dataset,MajorityClass,Grassland,Forest,Built-up,Wetland,Water,Bareland,Cropland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LFM_M_R,Shrubland,381,273,79,147,77,61,24,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFM_M_R,Grassland,0,344,67,117,52,81,91,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFM_M_R,Non_Wetland,16,11,1,15,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFM_M_R,Bareland,331,123,73,11,21,0,31,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFM_M_R,Built-up,193,112,0,0,1,78,38,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFM_M_R,Water,1461,953,66,801,0,199,9,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFM_M_R,Forest,1124,0,118,422,309,99,79,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFM_M_R,Cropland,1029,445,161,142,75,156,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFM_M_R,Wetland,942,450,25,0,213,22,15,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFM_M_R,Non_Water,4,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LFM_M_R,Permanent_ice_and_snow,2,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFM_M_R,Non_Wetland,7,4,0,21,6,1,0,10,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFM_M_R,Shrubland,125,25,12,111,61,38,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFM_M_R,Grassland,0,121,27,323,114,55,0,378,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFM_M_R,Cropland,556,122,61,399,224,172,0,441,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFM_M_R,Wetland,214,205,0,0,523,35,0,740,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFM_M_R,Bareland,149,15,30,39,114,0,0,74,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFM_M_R,Built-up,113,8,0,13,14,87,0,80,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFM_M_R,Water,541,341,13,476,0,84,0,1000,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFM_M_R,Forest,726,0,57,659,517,185,0,1362,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFM_M_R,Non_Water,0,0,0,0,3,1,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFM_M_R,Wetland,0,0,0,0,103,0,0,0,1039,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFM_M_R,Shrubland,0,0,0,0,0,0,0,0,429,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFM_M_R,Grassland,0,0,0,151,79,0,0,0,650,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFM_M_R,Forest,0,0,0,503,237,0,0,0,1508,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFM_M_R,Water,0,0,0,638,0,0,0,0,866,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFM_M_R,Bareland,0,0,0,71,54,0,0,0,58,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFM_M_R,Cropland,0,0,0,136,60,0,0,0,674,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFM_M_R,Built-up,0,0,0,1,19,0,0,0,18,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFM_M_R,Non_Wetland,5,3,0,21,2,10,0,13,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFM_M_R,Grassland,0,67,33,211,82,226,146,392,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFM_M_R,Wetland,208,154,4,0,266,503,29,1006,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFM_M_R,Water,244,242,6,543,0,1077,26,1249,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFM_M_R,Forest,756,0,29,508,331,825,132,1342,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFM_M_R,Bareland,117,0,13,17,10,0,50,32,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFM_M_R,Built-up,140,6,0,6,0,177,35,49,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFM_M_R,Non_Water,0,0,0,0,2,1,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFM_M_R,Shrubland,108,17,11,95,26,123,19,0,0,0,0
