Dataset,MajorityClass,Forest,Wetland,Grassland,Water,Built-up,Shrubland,Cropland,Bareland,Lichens_and_Mosses,Non_Wetland
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCV_M_R,Grassland,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCV_M_R,Forest,0,23,4,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCV_M_R,Forest,0,3,18,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCV_M_R,Wetland,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCV_M_R,Built-up,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCV_M_R,Forest,0,8,14,1,7,10,3,13,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCV_M_R,Water,2,1,2,0,0,1,0,3,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCV_M_R,Grassland,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCV_M_R,Cropland,1,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCV_M_R,Wetland,3,0,0,2,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCV_M_R,Bareland,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCV_M_R,Water,3,1,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MCV_M_R,Forest,0,1,0,11,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCV_M_R,Grassland,0,0,0,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCV_M_R,Wetland,0,0,0,0,0,0,0,0,0,2
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCV_M_R,Water,0,1,0,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCV_M_R,Forest,0,8,0,1,0,0,0,0,0,25
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCV_M_R,Water,5,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCV_M_R,Wetland,5,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MCV_M_R,Forest,0,0,0,1,0,0,0,0,0,0
