Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Non_Water,Shrubland,Wetland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_17MQR_M_R,Shrubland,3,2,3,1,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MQR_M_R,Grassland,0,7,20,11,2,18,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MQR_M_R,Cropland,60,0,38,12,17,45,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MQR_M_R,Wetland,49,0,25,0,27,33,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MQR_M_R,Bareland,89,7,0,7,36,62,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MQR_M_R,Built-up,19,4,14,0,9,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MQR_M_R,Water,151,9,145,15,0,141,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MQR_M_R,Forest,102,30,80,31,43,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MQR_M_R,Permanent_ice_and_snow,4,0,4,1,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQR_M_R,Shrubland,0,0,0,0,4,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQR_M_R,Grassland,0,0,0,0,21,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQR_M_R,Cropland,0,0,0,0,24,0,8,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQR_M_R,Wetland,0,0,0,0,44,0,17,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQR_M_R,Bareland,0,0,0,0,96,0,40,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQR_M_R,Water,0,0,0,0,0,0,141,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQR_M_R,Forest,0,0,0,0,106,0,54,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQR_M_R,Built-up,0,0,0,0,15,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQR_M_R,Water,45,99,63,10,0,90,0,109,57,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQR_M_R,Cropland,12,0,19,5,1,34,0,41,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQR_M_R,Wetland,4,17,7,0,0,15,0,19,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQR_M_R,Bareland,30,65,0,4,12,56,0,67,24,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQR_M_R,Built-up,9,16,12,0,1,16,0,21,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQR_M_R,Forest,40,73,49,15,19,0,0,103,23,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQR_M_R,Grassland,0,26,12,4,1,21,0,39,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQR_M_R,Permanent_ice_and_snow,2,0,0,0,0,4,0,9,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQR_M_R,Grassland,0,19,6,26,21,27,0,0,10,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQR_M_R,Bareland,0,22,0,50,50,33,0,0,9,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQR_M_R,Forest,0,37,34,65,58,0,0,0,41,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQR_M_R,Water,0,19,72,95,0,59,0,0,42,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQR_M_R,Wetland,0,2,11,30,27,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQR_M_R,Cropland,0,0,5,35,20,12,0,0,4,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQR_M_R,Built-up,0,1,0,0,3,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQR_M_R,Permanent_ice_and_snow,0,0,0,2,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQR_M_R,Wetland,0,0,0,0,0,0,0,0,0,62,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQR_M_R,Grassland,0,0,0,0,1,0,0,0,0,10,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQR_M_R,Forest,0,0,0,0,19,0,0,0,23,48,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQR_M_R,Bareland,0,0,0,0,12,0,0,0,24,14,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQR_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQR_M_R,Water,0,0,0,0,0,0,0,0,57,47,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQR_M_R,Cropland,0,0,0,0,1,0,0,0,0,4,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQR_M_R,Wetland,4,8,16,0,10,11,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQR_M_R,Bareland,5,7,0,0,24,26,0,0,5,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQR_M_R,Built-up,8,9,7,0,5,10,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQR_M_R,Water,15,27,66,0,0,72,0,0,33,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQR_M_R,Forest,22,25,32,0,31,0,0,0,8,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQR_M_R,Cropland,4,0,8,0,5,16,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQR_M_R,Grassland,0,5,12,0,6,11,0,0,0,0,1
