Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Cropland,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LGN_M_R,Shrubland,420,80,87,228,45,106,43,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGN_M_R,Grassland,0,87,72,314,150,82,14,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGN_M_R,Non_Wetland,16,2,0,10,2,10,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGN_M_R,Bareland,260,0,76,131,53,5,33,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGN_M_R,Water,1420,241,13,866,30,820,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGN_M_R,Forest,1193,135,146,0,201,373,199,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGN_M_R,Cropland,619,179,178,399,0,14,11,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGN_M_R,Wetland,697,14,2,317,26,0,117,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGN_M_R,Built-up,251,89,0,174,68,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGN_M_R,Non_Water,3,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LGN_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGN_M_R,Non_Wetland,4,1,0,4,0,18,10,8,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGN_M_R,Shrubland,105,37,13,48,0,102,48,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGN_M_R,Grassland,0,47,31,185,0,239,155,359,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGN_M_R,Cropland,561,237,63,277,0,132,35,444,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGN_M_R,Wetland,126,10,0,263,0,0,692,436,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGN_M_R,Bareland,161,0,30,67,0,12,57,110,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGN_M_R,Built-up,135,89,0,44,0,6,9,134,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGN_M_R,Water,491,85,18,466,0,412,0,846,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGN_M_R,Forest,687,189,93,0,0,671,526,1278,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGN_M_R,Non_Water,0,1,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGN_M_R,Non_Wetland,6,5,0,0,0,23,2,12,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGN_M_R,Grassland,0,218,30,82,137,189,39,341,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGN_M_R,Wetland,113,464,0,58,5,0,190,489,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGN_M_R,Forest,754,890,45,0,196,788,256,1139,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGN_M_R,Bareland,90,0,23,6,96,6,4,34,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LGN_M_R,Non_Water,0,1,0,0,0,0,1,2,0,0,0
