Dataset,MajorityClass,Forest,Bareland,Built-up,Cropland,Water,Wetland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MXN_M_R,Grassland,347,53,78,37,13,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXN_M_R,Non_Wetland,6,0,2,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXN_M_R,Bareland,308,0,73,5,76,0,380,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXN_M_R,Shrubland,16,0,2,0,0,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXN_M_R,Cropland,161,18,49,0,1,0,221,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXN_M_R,Built-up,107,45,0,2,4,0,209,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXN_M_R,Water,598,141,6,0,0,9,426,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXN_M_R,Forest,0,33,53,4,113,2,398,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXN_M_R,Wetland,176,21,7,0,89,0,167,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXN_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXN_M_R,Permanent_ice_and_snow,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXN_M_R,Non_Wetland,0,0,0,0,0,10,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXN_M_R,Shrubland,4,12,1,0,2,4,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXN_M_R,Grassland,100,190,42,0,61,102,0,18,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXN_M_R,Cropland,36,75,25,0,4,34,252,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXN_M_R,Bareland,14,0,39,0,37,21,213,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXN_M_R,Built-up,15,85,0,0,6,16,119,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXN_M_R,Water,108,378,50,0,0,209,430,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXN_M_R,Forest,0,493,58,0,158,360,681,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXN_M_R,Wetland,18,103,2,0,69,0,136,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXN_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXN_M_R,Grassland,50,267,81,77,81,28,0,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXN_M_R,Forest,0,623,57,36,281,27,633,34,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXN_M_R,Non_Wetland,0,3,1,0,1,1,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXN_M_R,Bareland,4,0,48,42,21,2,89,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXN_M_R,Water,52,532,29,3,0,5,282,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXN_M_R,Shrubland,0,9,3,1,4,1,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXN_M_R,Cropland,7,112,42,0,3,4,174,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXN_M_R,Wetland,10,186,3,4,125,0,129,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXN_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXN_M_R,Built-up,2,119,0,28,11,0,97,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MXN_M_R,Permanent_ice_and_snow,0,2,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXN_M_R,Grassland,0,0,0,0,12,100,0,0,197,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXN_M_R,Forest,0,0,0,0,74,311,0,0,416,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXN_M_R,Shrubland,0,0,0,0,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXN_M_R,Bareland,0,0,0,0,29,97,0,0,123,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXN_M_R,Water,0,0,0,0,0,378,0,0,179,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXN_M_R,Cropland,0,0,0,0,0,1,0,0,39,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXN_M_R,Built-up,0,0,0,0,2,4,0,0,17,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXN_M_R,Wetland,0,0,0,0,0,0,0,0,49,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXN_M_R,Grassland,0,0,0,0,93,0,0,0,0,42,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXN_M_R,Bareland,0,0,0,0,195,0,0,0,0,51,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXN_M_R,Wetland,0,0,0,0,60,0,0,0,0,54,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXN_M_R,Water,0,0,0,0,0,0,0,0,0,246,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXN_M_R,Forest,0,0,0,0,252,0,0,0,0,141,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXN_M_R,Built-up,0,0,0,0,23,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MXN_M_R,Cropland,0,0,0,0,1,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MXN_M_R,Grassland,161,121,157,226,12,100,0,207,0,0,61,0
