Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Water,Forest,Cropland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVF_M_R,Non_Wetland,3,12,6,1,2,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVF_M_R,Grassland,0,547,105,83,99,302,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVF_M_R,Wetland,99,0,616,23,599,113,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVF_M_R,Bareland,92,65,0,106,185,59,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVF_M_R,Built-up,143,112,109,0,81,93,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVF_M_R,Forest,627,1139,279,146,349,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVF_M_R,Water,221,606,369,84,0,206,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVF_M_R,Shrubland,11,16,12,8,7,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVF_M_R,Cropland,333,241,60,85,19,271,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVF_M_R,Lichens_and_Mosses,0,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KVF_M_R,Permanent_ice_and_snow,0,8,28,0,1,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KVF_M_R,Non_Wetland,11,11,1,2,1,5,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KVF_M_R,Grassland,0,222,45,126,28,383,146,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KVF_M_R,Bareland,537,253,0,44,77,113,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KVF_M_R,Built-up,428,84,140,0,33,208,56,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KVF_M_R,Water,776,642,305,27,0,583,25,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KVF_M_R,Forest,1141,529,104,194,178,0,212,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KVF_M_R,Wetland,859,0,140,30,167,493,30,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KVF_M_R,Shrubland,36,25,3,6,1,16,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KVF_M_R,Cropland,443,92,64,147,4,250,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KVF_M_R,Lichens_and_Mosses,4,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KVF_M_R,Permanent_ice_and_snow,59,1,6,1,0,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVF_M_R,Wetland,0,0,0,0,60,0,0,2128,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVF_M_R,Grassland,0,59,0,0,3,0,0,1070,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVF_M_R,Bareland,0,216,0,0,49,0,0,477,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVF_M_R,Forest,0,277,0,0,70,0,0,2076,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVF_M_R,Built-up,0,57,0,0,1,0,0,251,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVF_M_R,Water,0,452,0,0,0,0,0,1050,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVF_M_R,Shrubland,0,0,0,0,0,0,0,62,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVF_M_R,Cropland,0,8,0,0,1,0,0,399,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVF_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KVF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,28,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KVF_M_R,Non_Wetland,4,14,4,0,1,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KVF_M_R,Wetland,198,0,488,4,324,189,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KVF_M_R,Forest,668,648,267,106,168,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KVF_M_R,Grassland,0,164,197,78,45,271,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KVF_M_R,Bareland,46,44,0,9,40,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KVF_M_R,Water,77,433,463,15,0,194,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KVF_M_R,Shrubland,8,21,21,5,1,9,0,0,0,0,0,0
