Dataset,MajorityClass,Grassland,Bareland,Built-up,Water,Forest,Wetland,Cropland,Non_Water,Non_Wetland,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19NHE_M_R,Shrubland,3,1,1,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHE_M_R,Grassland,0,2,2,2,8,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHE_M_R,Cropland,7,5,0,2,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHE_M_R,Wetland,24,5,0,7,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHE_M_R,Built-up,7,2,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHE_M_R,Water,61,22,0,0,49,18,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHE_M_R,Forest,41,23,0,21,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHE_M_R,Bareland,15,0,0,8,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19NHE_M_R,Permanent_ice_and_snow,4,3,0,2,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHE_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHE_M_R,Grassland,0,0,0,13,0,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHE_M_R,Wetland,0,0,0,9,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHE_M_R,Water,0,0,0,0,0,0,0,35,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHE_M_R,Forest,0,0,0,23,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHE_M_R,Built-up,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHE_M_R,Bareland,0,0,0,14,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHE_M_R,Grassland,0,0,0,1,0,4,0,0,10,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHE_M_R,Forest,0,0,0,15,0,24,0,0,17,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHE_M_R,Wetland,0,0,0,2,0,0,0,0,8,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHE_M_R,Water,0,0,0,0,0,25,0,0,8,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHE_M_R,Bareland,0,0,0,2,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHE_M_R,Grassland,0,0,7,10,12,1,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHE_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHE_M_R,Wetland,0,0,2,18,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHE_M_R,Forest,0,3,11,26,0,4,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHE_M_R,Water,0,9,3,0,23,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHE_M_R,Cropland,0,0,1,5,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHE_M_R,Bareland,0,0,0,12,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHE_M_R,Permanent_ice_and_snow,0,0,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHE_M_R,Cropland,9,1,0,0,4,0,0,0,0,9,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHE_M_R,Wetland,2,0,0,2,3,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHE_M_R,Built-up,4,3,0,0,4,0,2,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHE_M_R,Water,39,3,0,0,30,25,3,0,0,29,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHE_M_R,Forest,37,4,2,15,0,24,12,0,0,31,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHE_M_R,Grassland,0,0,0,1,7,4,1,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHE_M_R,Bareland,19,0,0,2,4,5,0,0,0,22,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHE_M_R,Permanent_ice_and_snow,4,0,0,0,4,0,0,0,0,6,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHE_M_R,Wetland,4,6,0,13,21,0,2,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHE_M_R,Water,1,32,0,0,39,12,4,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHE_M_R,Forest,9,11,0,12,0,4,10,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHE_M_R,Grassland,0,4,0,3,8,2,4,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHE_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0
