Dataset,MajorityClass,Forest,Built-up,Cropland,Bareland,Water,Wetland,Grassland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MBT_M_R,Grassland,180,41,20,30,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBT_M_R,Non_Wetland,4,0,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBT_M_R,Shrubland,17,1,0,1,0,0,21,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBT_M_R,Wetland,83,0,0,3,12,0,104,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBT_M_R,Bareland,8,2,0,0,0,0,22,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBT_M_R,Water,307,0,1,43,0,31,196,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBT_M_R,Forest,0,6,0,14,35,5,256,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBT_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBT_M_R,Cropland,63,20,0,4,0,0,81,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MBT_M_R,Built-up,3,0,3,2,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBT_M_R,Non_Wetland,1,0,0,2,0,6,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBT_M_R,Shrubland,6,0,0,6,0,8,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBT_M_R,Grassland,92,0,0,37,8,86,0,34,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBT_M_R,Bareland,2,0,0,0,0,6,30,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBT_M_R,Water,109,0,0,3,0,155,220,11,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBT_M_R,Forest,0,0,0,65,73,284,352,60,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBT_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBT_M_R,Cropland,30,0,0,16,1,20,97,18,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBT_M_R,Wetland,19,0,0,1,18,0,43,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MBT_M_R,Built-up,0,0,0,11,0,0,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBT_M_R,Grassland,32,0,0,192,25,39,0,46,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBT_M_R,Forest,0,0,0,211,165,139,329,67,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBT_M_R,Non_Wetland,0,0,0,1,1,4,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBT_M_R,Wetland,3,0,0,40,49,0,54,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBT_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBT_M_R,Shrubland,0,0,0,10,2,4,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBT_M_R,Cropland,1,0,0,47,9,16,106,37,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBT_M_R,Built-up,0,0,0,11,0,0,15,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBT_M_R,Water,27,0,0,178,0,49,105,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MBT_M_R,Bareland,0,0,0,0,1,1,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBT_M_R,Grassland,0,0,0,0,20,39,0,0,179,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBT_M_R,Wetland,0,0,0,0,4,0,0,0,65,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBT_M_R,Forest,0,0,0,0,72,118,0,0,378,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBT_M_R,Shrubland,0,0,0,0,0,0,0,0,13,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBT_M_R,Cropland,0,0,0,0,0,7,0,0,35,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBT_M_R,Water,0,0,0,0,0,144,0,0,90,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MBT_M_R,Bareland,0,0,0,0,0,0,0,0,7,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBT_M_R,Grassland,0,0,0,0,67,0,0,0,0,9,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBT_M_R,Wetland,0,0,0,0,47,0,0,0,0,20,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MBT_M_R,Water,0,0,0,0,0,0,0,0,0,81,0
