Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Wetland,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24MVA_M_R,Shrubland,368,73,66,84,77,32,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MVA_M_R,Grassland,0,151,55,44,54,24,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MVA_M_R,Bareland,263,34,0,53,42,15,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MVA_M_R,Built-up,367,109,117,0,153,22,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MVA_M_R,Water,1769,413,465,75,319,0,230,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MVA_M_R,Forest,1480,412,97,183,0,135,53,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MVA_M_R,Non_Wetland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MVA_M_R,Non_Water,5,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MVA_M_R,Cropland,411,0,85,77,91,31,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MVA_M_R,Wetland,1027,320,65,20,136,143,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MVA_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24MVA_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MVA_M_R,Shrubland,0,0,0,0,0,0,0,210,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MVA_M_R,Cropland,0,0,0,0,0,0,12,120,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MVA_M_R,Bareland,0,0,0,0,0,1,3,52,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MVA_M_R,Grassland,0,0,0,0,0,7,114,424,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MVA_M_R,Water,0,0,0,0,0,0,659,820,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MVA_M_R,Forest,0,0,0,0,0,37,335,598,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MVA_M_R,Wetland,0,0,0,0,0,8,0,960,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MVA_M_R,Built-up,0,0,0,0,0,0,35,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MVA_M_R,Shrubland,55,0,63,23,19,26,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MVA_M_R,Grassland,0,0,183,78,85,128,0,0,415,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MVA_M_R,Bareland,84,0,0,53,4,67,0,0,104,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MVA_M_R,Built-up,113,0,199,0,65,27,0,0,177,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MVA_M_R,Water,370,0,469,127,204,0,0,0,1068,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MVA_M_R,Forest,341,0,521,271,0,293,0,0,1254,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MVA_M_R,Non_Wetland,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MVA_M_R,Non_Water,1,0,3,0,0,3,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MVA_M_R,Cropland,235,0,212,137,88,37,0,0,283,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MVA_M_R,Wetland,93,0,282,19,155,454,0,0,713,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MVA_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MVA_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MVA_M_R,Grassland,0,1,89,28,292,54,0,0,374,0,0,0
