Dataset,MajorityClass,Grassland,Wetland,Bareland,Forest,Built-up,Water,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NLL_M_R,Shrubland,1,1,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLL_M_R,Grassland,0,0,2,4,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLL_M_R,Cropland,6,0,0,5,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLL_M_R,Wetland,12,0,6,14,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLL_M_R,Bareland,8,0,0,8,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLL_M_R,Built-up,4,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLL_M_R,Water,35,9,35,49,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLL_M_R,Forest,31,8,26,0,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NLL_M_R,Permanent_ice_and_snow,6,1,7,6,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLL_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLL_M_R,Forest,0,20,0,0,0,9,0,15,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLL_M_R,Water,0,33,0,0,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLL_M_R,Grassland,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLL_M_R,Wetland,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLL_M_R,Bareland,0,2,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLL_M_R,Wetland,0,0,0,0,0,3,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLL_M_R,Water,0,0,0,0,0,0,0,0,43,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLL_M_R,Bareland,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLL_M_R,Forest,0,0,0,0,0,22,0,0,16,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLL_M_R,Forest,0,6,1,0,4,35,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLL_M_R,Grassland,0,0,0,11,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLL_M_R,Wetland,0,0,0,12,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLL_M_R,Cropland,0,0,0,2,3,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLL_M_R,Water,0,5,7,33,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLL_M_R,Bareland,0,0,0,8,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLL_M_R,Permanent_ice_and_snow,0,0,0,4,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLL_M_R,Built-up,0,0,0,1,0,0,1,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLL_M_R,Water,14,33,14,31,10,0,2,0,0,36,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLL_M_R,Forest,18,20,17,0,13,9,7,0,0,34,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLL_M_R,Grassland,0,2,0,3,0,0,2,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLL_M_R,Cropland,2,0,1,2,0,0,0,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLL_M_R,Wetland,0,0,0,0,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLL_M_R,Bareland,2,2,0,6,2,2,0,0,0,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLL_M_R,Permanent_ice_and_snow,3,0,2,7,1,0,0,0,0,8,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLL_M_R,Wetland,2,0,2,11,0,11,1,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLL_M_R,Forest,6,2,11,0,0,16,11,0,0,0,16
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLL_M_R,Water,0,7,9,44,0,0,6,0,0,0,24
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLL_M_R,Grassland,0,0,1,2,0,2,1,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLL_M_R,Bareland,0,0,0,1,0,4,0,0,0,0,1
