Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24KUB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24KUB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24KUB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KUB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KUB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KUB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KUB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24KUB_M_R
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
67,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
74,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
76,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
84,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
85,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
86,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
87,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
88,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
89,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
90,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
91,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Wetland
92,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
93,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
94,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
95,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
96,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
97,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
98,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
99,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
101,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
102,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
103,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
104,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
106,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
107,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
110,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
111,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
112,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
113,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
114,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Wetland
115,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
118,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Wetland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Wetland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Cropland
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Wetland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
180,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
181,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
182,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
183,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
184,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland,Grassland
185,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
186,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
187,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
188,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
189,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
190,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
191,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
192,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Wetland
193,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
194,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
195,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
196,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Wetland
197,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
198,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Wetland
199,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Forest,Wetland
200,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
201,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Wetland
202,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
203,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
204,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
205,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
206,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Bareland,Grassland
207,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
208,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
209,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
210,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
211,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
212,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
213,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
214,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
215,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
216,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
217,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
218,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
219,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Wetland
220,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
221,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
222,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
223,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
224,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Wetland
225,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
226,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
227,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
228,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
229,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
230,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Bareland
231,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
232,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
233,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
234,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
235,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
236,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
237,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
238,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
239,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
240,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
241,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
242,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
243,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
244,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
245,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
246,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
247,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
248,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Cropland
249,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Wetland
250,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
251,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
252,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Bareland
253,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
254,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
255,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
256,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
257,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
258,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
259,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
260,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
261,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
262,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
263,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
264,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
265,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
266,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Wetland,Grassland
267,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
268,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Grassland
269,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland,Built-up,Cropland
270,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Forest
271,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Wetland,Wetland
272,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
273,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
274,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
275,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
276,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
277,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
278,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
279,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Wetland
280,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Built-up
281,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Wetland,Forest
282,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
283,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Cropland
284,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
285,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
286,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
287,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
288,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
289,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
290,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
291,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
292,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,NULL,Forest
293,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
294,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Bareland
295,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
296,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
297,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Wetland,Built-up
298,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
299,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
300,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
301,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
302,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
303,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
304,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
305,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
306,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
307,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Wetland,Grassland
308,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
309,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
310,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
311,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Water,Built-up
312,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
313,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
314,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
315,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
316,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
317,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
318,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
319,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
320,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
321,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
322,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
323,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
