Dataset,MajorityClass,Forest,Built-up,Bareland,Water,Grassland,Wetland,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18MZS_M_R,Grassland,134,45,11,10,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZS_M_R,Non_Wetland,3,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZS_M_R,Wetland,45,0,1,28,31,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZS_M_R,Bareland,28,2,0,38,27,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZS_M_R,Water,538,6,113,0,171,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZS_M_R,Shrubland,3,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZS_M_R,Cropland,29,3,0,1,14,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZS_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZS_M_R,Built-up,46,0,6,7,23,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MZS_M_R,Forest,0,29,48,219,280,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZS_M_R,Grassland,0,0,0,8,0,5,75,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZS_M_R,Wetland,0,0,0,0,0,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZS_M_R,Water,0,0,0,0,0,143,256,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZS_M_R,Cropland,0,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZS_M_R,Bareland,0,0,0,1,0,5,43,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZS_M_R,Forest,0,0,0,111,0,124,571,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZS_M_R,Built-up,0,0,0,3,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZS_M_R,Grassland,30,1,113,16,0,54,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZS_M_R,Non_Wetland,0,0,1,0,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZS_M_R,Bareland,11,0,0,13,10,46,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZS_M_R,Water,178,5,119,0,227,438,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZS_M_R,Forest,0,7,201,277,362,505,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZS_M_R,Shrubland,0,0,2,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZS_M_R,Cropland,1,0,22,0,22,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZS_M_R,Wetland,1,0,0,14,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZS_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZS_M_R,Built-up,8,0,46,1,39,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZS_M_R,Non_Wetland,0,0,0,0,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZS_M_R,Forest,0,6,352,233,529,201,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZS_M_R,Grassland,7,2,93,51,0,18,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZS_M_R,Water,63,20,296,0,313,33,0,0,0,0,0,0
