,WorldCover_2021,ESRI_Annual_LULC_2024,GLC_FCS30D_2022,GWL_FCS30D_2022,GSW_Yearly_2021,DynamicWorld_2024,meta,tile_id,MapBiomas_Collection10_2024,MapBiomas_10mbeta_2023
0,2122,1724,2200,2265,912,1853,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQS_M_R': 1853, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQS_M_R': 1724, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQS_M_R': 2200, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQS_M_R': 912, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQS_M_R': 2265, 'AMAZON_EXTENSION_2024_WorldCover_2021_17MQS_M_R': 2122}",17MQS,,
1,2238,1880,2439,2519,771,2113,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQU_M_R': 2113, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQU_M_R': 1880, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQU_M_R': 2439, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQU_M_R': 771, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQU_M_R': 2519, 'AMAZON_EXTENSION_2024_WorldCover_2021_17MQU_M_R': 2238}",17MQU,,
2,2109,1698,2227,2306,732,1891,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQT_M_R': 1891, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQT_M_R': 1698, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQT_M_R': 2227, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQT_M_R': 732, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQT_M_R': 2306, 'AMAZON_EXTENSION_2024_WorldCover_2021_17MQT_M_R': 2109}",17MQT,,
3,2407,1895,2456,2518,1390,2046,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_18LUR_M_R': 2046, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LUR_M_R': 1895, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LUR_M_R': 2456, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LUR_M_R': 1390, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LUR_M_R': 2518, 'AMAZON_EXTENSION_2024_WorldCover_2021_18LUR_M_R': 2407}",18LUR,,
4,3224,2547,3335,3375,1904,2787,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQP_M_R': 2787, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQP_M_R': 2547, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQP_M_R': 3335, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQP_M_R': 1904, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQP_M_R': 3375, 'AMAZON_EXTENSION_2024_WorldCover_2021_17MQP_M_R': 3224}",17MQP,,
5,2927,2157,2989,3001,1323,2510,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_18LUP_M_R': 2510, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LUP_M_R': 2157, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LUP_M_R': 2989, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LUP_M_R': 1323, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LUP_M_R': 3001, 'AMAZON_EXTENSION_2024_WorldCover_2021_18LUP_M_R': 2927}",18LUP,,
6,2086,1598,2273,2295,753,1892,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQN_M_R': 1892, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQN_M_R': 1598, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQN_M_R': 2273, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQN_M_R': 753, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQN_M_R': 2295, 'AMAZON_EXTENSION_2024_WorldCover_2021_17MQN_M_R': 2086}",17MQN,,
7,1325,1029,1314,1348,736,1128,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRS_M_R': 1128, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRS_M_R': 1029, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRS_M_R': 1314, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRS_M_R': 736, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRS_M_R': 1348, 'AMAZON_EXTENSION_2024_WorldCover_2021_17MRS_M_R': 1325}",17MRS,,
8,2489,1986,2403,2611,1049,2208,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_17NRB_M_R': 2208, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17NRB_M_R': 1986, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17NRB_M_R': 2403, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_17NRB_M_R': 1049, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17NRB_M_R': 2611, 'AMAZON_EXTENSION_2024_WorldCover_2021_17NRB_M_R': 2489}",17NRB,,
9,2547,1973,2508,2660,1317,2067,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_18LVP_M_R': 2067, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18LVP_M_R': 1973, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18LVP_M_R': 2508, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_18LVP_M_R': 1317, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18LVP_M_R': 2660, 'AMAZON_EXTENSION_2024_WorldCover_2021_18LVP_M_R': 2547}",18LVP,,
