Dataset,MajorityClass,Cropland,Wetland,Bareland,Water,Grassland,Forest,Built-up,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFG_M_R,Non_Wetland,2,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFG_M_R,Wetland,338,0,195,498,205,112,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFG_M_R,Water,109,583,108,0,71,77,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFG_M_R,Shrubland,8,6,3,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFG_M_R,Forest,73,399,38,122,229,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFG_M_R,Grassland,61,192,21,20,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFG_M_R,Built-up,2,20,23,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFG_M_R,Cropland,0,87,40,18,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFG_M_R,Bareland,4,3,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NFG_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFG_M_R,Non_Wetland,0,2,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFG_M_R,Cropland,0,158,6,124,22,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFG_M_R,Wetland,0,0,7,995,356,62,0,9,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFG_M_R,Shrubland,0,12,2,8,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFG_M_R,Grassland,0,178,4,74,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFG_M_R,Forest,0,550,1,268,328,0,0,44,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFG_M_R,Water,0,420,1,0,113,22,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFG_M_R,Built-up,0,39,5,10,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFG_M_R,Bareland,0,14,0,21,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NFG_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NFG_M_R,Non_Wetland,0,1,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NFG_M_R,Wetland,215,0,99,329,697,416,6,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NFG_M_R,Water,47,637,71,0,267,176,11,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NFG_M_R,Shrubland,0,3,0,0,13,7,0,0,0,0,0
