Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYJ_M_R
55,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
64,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
84,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
88,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
94,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
95,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
106,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Water
111,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
113,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
121,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
124,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
125,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
126,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
127,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
128,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
129,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
130,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
131,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
132,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
133,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
134,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
135,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Water
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
139,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
140,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Bareland
141,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
142,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
143,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Cropland
144,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
145,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Water
147,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
148,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
150,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Forest
151,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
152,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
153,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
154,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
155,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Water
156,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Forest
157,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Bareland,Grassland
158,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
159,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Grassland
160,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
161,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
162,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Forest
163,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
164,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Cropland
165,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
166,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
167,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
168,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Bareland
169,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Forest
170,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Water
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Built-up
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Cropland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Built-up
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Cropland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Water
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Water
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Bareland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Water
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
