Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23LME_M_R,Shrubland,208,52,108,68,96,32,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LME_M_R,Grassland,0,70,72,20,53,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LME_M_R,Non_Wetland,7,0,3,0,3,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LME_M_R,Bareland,200,52,0,75,36,15,8,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LME_M_R,Forest,356,82,90,58,0,61,33,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LME_M_R,Cropland,425,0,253,154,198,12,7,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LME_M_R,Wetland,32,0,6,1,12,0,13,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LME_M_R,Water,114,42,44,5,27,24,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LME_M_R,Built-up,115,37,67,0,52,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LME_M_R,Permanent_ice_and_snow,14,0,3,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LME_M_R,Non_Wetland,1,0,1,0,3,13,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LME_M_R,Shrubland,72,0,49,7,29,61,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LME_M_R,Grassland,0,0,52,7,40,40,6,138,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LME_M_R,Cropland,436,0,280,28,130,34,18,476,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LME_M_R,Wetland,2,0,4,0,4,0,20,13,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LME_M_R,Bareland,206,0,0,7,23,46,7,164,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LME_M_R,Forest,245,0,114,9,0,327,5,510,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LME_M_R,Built-up,89,0,117,0,7,9,13,115,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LME_M_R,Water,23,0,46,0,10,81,0,69,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LME_M_R,Permanent_ice_and_snow,10,0,3,0,0,12,1,13,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LME_M_R,Shrubland,0,0,0,0,0,0,0,0,118,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LME_M_R,Wetland,0,0,0,0,0,0,7,0,154,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LME_M_R,Grassland,0,0,0,0,0,0,2,0,70,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LME_M_R,Forest,0,0,0,0,0,8,19,0,492,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LME_M_R,Bareland,0,0,0,0,0,5,27,0,61,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LME_M_R,Water,0,0,0,0,0,13,0,0,71,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LME_M_R,Cropland,0,0,0,0,0,1,30,0,54,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LME_M_R,Built-up,0,0,0,0,0,0,13,0,10,0,0
