Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MZE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MZE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MZE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MZE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MZE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MZE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MZE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MZE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
2,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
3,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
4,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
5,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
6,NULL,Wetland,Water,NULL,Water,NULL,NULL,NULL
7,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
8,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
9,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
10,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
11,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
12,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
13,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
14,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
15,NULL,Water,Water,NULL,Water,NULL,NULL,NULL
16,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
17,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
18,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
19,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
20,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
21,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
22,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
23,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
24,Grassland,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
25,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
26,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
27,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
28,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
29,Wetland,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
30,Wetland,Wetland,Water,NULL,Water,NULL,NULL,NULL
31,Wetland,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
32,Wetland,Water,Water,NULL,Water,NULL,NULL,NULL
